,Origin,Destination,Average
142,LV,CZ,0
161,NL,LU,0
239,SK,AT,0
240,SK,BE,0
241,SK,BG,0
243,SK,DE,0
244,SK,EE,0
245,SK,ES,0
246,SK,FL,0
247,SK,HR,0
248,SK,HU,0
249,SK,IE,0
250,SK,LT,0
251,SK,LU,0
252,SK,LV,0
253,SK,NL,0
254,SK,PL,0
255,SK,PT,0
256,SK,RO,0
257,SK,SE,0
258,SK,SI,0
141,LV,BE,5.724548374
144,LV,PL,5.724548374
30,BG,LV,10.2
68,EE,CZ,10.87664191
139,LT,SE,14.31137093
28,BG,FL,17
67,EE,BE,19.03412334
71,EE,PL,19.03412334
193,PT,BG,20.4
5,BE,BG,22.1
31,BG,PT,22.1
140,LV,AT,22.89819349
211,PT,SI,25.5
235,SI,BE,27.19160477
238,SI,PL,29.91076525
29,BG,LT,30.6
70,EE,NL,35.34908621
200,PT,GR,37.4
212,PT,SK,37.4
206,PT,LV,54.4
210,PT,SE,54.4
82,ES,GR,56.1
209,PT,RO,56.1
9,BE,EE,57.8
18,BE,LT,57.8
23,BE,SI,61.2
25,BG,AT,61.2
39,CZ,LT,64.16666667
14,BE,GR,71.4
49,DE,EE,71.4
78,ES,DK,74.8
86,ES,LT,76.5
59,DE,LV,78.2
36,CZ,FL,82.83333333
15,BE,HR,83.3
40,CZ,LV,87.5
197,PT,EE,90.1
215,SE,BG,92.45145623
202,PT,HU,93.5
34,CZ,EE,96.83333333
143,LV,DE,97.31732235
57,DE,LT,98.6
19,BE,LV,102
69,EE,DE,103.3280981
205,PT,LU,107.1
88,ES,LV,117.3
61,DE,NO,124.1
56,DE,IE,134.3
201,PT,HR,134.3
80,ES,FL,137.7
79,ES,EE,141.1
24,BE,SK,142.8
134,HU,LU,157.4250803
97,FL,BG,167.4430399
27,BG,ES,175.1
194,PT,CZ,178.5
53,DE,GR,180.2
75,ES,BG,190.4
208,PT,PL,190.4
108,FL,SI,195.7795544
6,BE,CZ,198.9
54,DE,HR,209.1
43,CZ,SE,211.1666667
87,ES,LU,219.3
237,SI,NL,220.2519987
231,SE,RO,255.6010849
2,AT,NL,268.2188236
16,BE,HU,270.3
103,FL,LU,275.6370042
92,ES,SE,282.2
91,ES,RO,283.9
232,SE,SI,299.1076525
84,ES,HU,300.9
233,SE,SK,323.5800968
223,SE,HR,326.2992573
76,ES,CZ,333.2
137,HU,SI,333.7411702
94,ES,SK,338.3
22,BE,SE,351.9
21,BE,PT,353.6
93,ES,SI,367.2
196,PT,DK,382.5
198,PT,FL,384.2
162,NL,LV,388.5
234,SI,AT,391.5591088
226,SE,LU,402.4357507
224,SE,HU,405.1549111
207,PT,NL,421.6
191,PT,AT,431.8
109,FL,SK,481.7207456
192,PT,BE,494.7
147,NL,BG,495.8333333
132,HU,CZ,496.4
204,PT,LT,511.7
136,HU,PL,528.7
83,ES,HR,532.1
122,GB,LT,549.7
106,FL,PT,561.5781954
216,SE,CZ,579.1811817
102,FL,HU,584.7626164
11,BE,FL,591.6
38,CZ,IE,649.8333333
112,GB,BG,653.2
17,BE,IE,678.3
85,ES,IE,703.8
157,NL,HR,710.5
160,NL,LT,757.1666667
145,LV,SE,758.5026595
150,NL,DK,872.6666667
151,NL,EE,883.1666667
156,NL,GR,938
20,BE,PL,940.1
230,SE,PT,987.0552533
229,SE,PL,1041.438463
42,CZ,PT,1043
225,SE,IE,1114.855796
98,FL,CZ,1151.492905
127,GB,RO,1173
135,HU,NL,1234.2
8,BE,DK,1268.2
123,GB,LU,1285.7
165,NL,RO,1351
73,ES,AT,1351.5
128,GB,SI,1382.3
120,GB,HR,1398.4
131,HU,BE,1401.083214
89,ES,NL,1565.7
10,BE,ES,1662.6
26,BG,DE,1705.1
48,DE,DK,1710.2
74,ES,BE,1735.7
153,NL,FL,1813
219,SE,ES,1840.871643
