Department,Origin Hub,Destination Hub,,Origin Hub-Country,Destination Hub-Country
EXP,El Prat,East Midlands,,El Prat-ES,East Midlands-UK
EXP,Brno,Linz Gateway,,Brno-CZ,Linz Gateway-DE
EXP,PZ 47 (Krefeld),Zaltbommel,,PZ 47 (Krefeld)-DE,Zaltbommel-NL
EXP,PZ 47 (Krefeld),East Midlands,,PZ 47 (Krefeld)-DE,East Midlands-UK
EXP,Eindhoven,Linz Gateway,,Eindhoven-NL,Linz Gateway-DE
EXP,Eindhoven,Getafe,,Eindhoven-NL,Getafe-ES
EXP,Zaltbommel,Linz Gateway,,Zaltbommel-NL,Linz Gateway-DE
EXP,Zaltbommel,Poznań,,Zaltbommel-NL,Poznań-PL
EXP,Zaltbommel,PZ 30 (Hannover),,Zaltbommel-NL,PZ 30 (Hannover)-DE
EXP,East Midlands,Linz Gateway,,East Midlands-UK,Linz Gateway-DE
EXP,East Midlands,PZ 30 (Hannover),,East Midlands-UK,PZ 30 (Hannover)-DE
EXP,East Midlands,El Prat,,East Midlands-UK,El Prat-ES
EXP,PZ 30 (Hannover),East Midlands,,PZ 30 (Hannover)-DE,East Midlands-UK
EXP,Linz Gateway,LYON,,Linz Gateway-DE,LYON-FR
EXP,Linz Gateway,PZ 93 (Regensburg),,Linz Gateway-DE,PZ 93 (Regensburg)-DE
EXP,Linz Gateway,East Midlands,,Linz Gateway-DE,East Midlands-UK
EXP,PZ 67 (Speyer),Getafe,,PZ 67 (Speyer)-DE,Getafe-ES
EXP,PZ 67 (Speyer),LYON,,PZ 67 (Speyer)-DE,LYON-FR
EXP,PZ 93 (Regensburg),Linz Gateway,,PZ 93 (Regensburg)-DE,Linz Gateway-DE
EXP,Castelbisbal,Milan,,Castelbisbal-ES,Milan-IT
EXP,Zaltbommel,Milan,,Zaltbommel-NL,Milan-IT
EXP,Eindhoven,Milan,,Eindhoven-NL,Milan-IT
EXP,PZ 90 (Feucht/Nürnberg),Bologna,,PZ 90 (Feucht/Nürnberg)-DE,Bologna-IT
EXP,East Midlands,Bologna,,East Midlands-UK,Bologna-IT
EXP,East Midlands,Milan,,East Midlands-UK,Milan-IT
EXP,LYON,Milan,,LYON-FR,Milan-IT
EXP,Bologna,Linz Gateway,,Bologna-IT,Linz Gateway-DE
EXP,Milan,Linz Gateway,,Milan-IT,Linz Gateway-DE
EXP,Milan,PZ 90 (Feucht/Nürnberg),,Milan-IT,PZ 90 (Feucht/Nürnberg)-DE
EXP,Milan,PZ 30 (Hannover),,Milan-IT,PZ 30 (Hannover)-DE
EXP,Bologna,Castelbisbal,,Bologna-IT,Castelbisbal-ES
EXP,Milan,Castelbisbal,,Milan-IT,Castelbisbal-ES
EXP,Bologna,LYON,,Bologna-IT,LYON-FR
EXP,Milan,LYON,,Milan-IT,LYON-FR
EXP,Milan,Paris,,Milan-IT,Paris-FR
EXP,Bologna,East Midlands,,Bologna-IT,East Midlands-UK
FRT,Aachen,Dublin,,Aachen-DE,Dublin-IE
