,City,Ref_City,Country
0,Wien 1,Hub Wien I,AT
1,Wien 2,Hub Wien II,AT
2,Hub Linz,Hub Linz,AT
3,Hub Graz,Hub Graz,AT
4,Meiningen,Meiningen,AT
5,Wels,Wels,AT
6,Herzogenburg,Herzogenburg,AT
7,Siggerwiesen,Siggerwiesen,AT
8,Wien Percostraße,Wien Percostraße,AT
9,Klagenfurt,Klagenfurt,AT
10,St. Michael,St. Michael,AT
11,St Florian,St Florian,AT
12,Peggau,Peggau,AT
13,Althofen,Althofen,AT
14,St Andrä,St Andrä,AT
15,Enzersdorf an der Fischa,Enzersdorf an der Fischa,AT
16,Wolkersdorf,Wolkersdorf,AT
17,Jenbach,Jenbach,AT
18,Bad Fischau,Bad Fischau,AT
19,Hallein,Hallein,AT
20,Mötz,Mötz,AT
21,Spittal an der Drau,Spittal an der Drau,AT
22,Ried im Innkreis,Ried im Innkreis,AT
23,Oberwart,Oberwart,AT
24,Linz,Linz,AT
25,Zwettl,Zwettl,AT
26,Ottensheim,Ottensheim,AT
27,Gablitz,Gablitz,AT
28,Hagenbrunn,Hagenbrunn,AT
29,Allhaming,Allhaming,AT
30,Enns,Enns,AT
31,Wernberg,Wernberg,AT
32,Wals,Wals,AT
33,Hall,Hall in Tirol,AT
34,Kalsdorf,Hub Graz,AT
35,Liesing,Liesing,AT
36,Wundschuh,Wundschuh,AT
37,Brüssel,Brüssel,BE
38,BE,Ternat,BE
39,Sofia,Sofia,BG
40,Brno,Brno,CZ
41,Ostrava,Ostrava,CZ
42,Krupka,Krupka 1,CZ
43,Plzen,Plzen 1,CZ
44,Hradec Kralove - Brezhrad,Hradec Kralove - Brezhrad,CZ
45,Ricany - Jazlovice,Ricany,CZ
46,Ceske Budejovice,Ceske Budejovice,CZ
47,Pilsen,Pilsen,CZ
48,Teplice,Teplice,CZ
49,Hradec Kralove,Hradec Kralove - Brezhrad,CZ
50,Zlin,Zlin,CZ
51,Olomouc,Olomouc,CZ
52,Praha - Reporyje,Praha,CZ
53,Liberec,Liberec,CZ
54,Humpolec,Humpolec,CZ
55,Karlovy Vary,Karlovy Vary,CZ
56,Praha - Malesice,Praha,CZ
57,Pecky,Pecky,CZ
58,Ricany - Jazlovice (Pallet),Ricany,CZ
59,Ceske Budejovice (Pallet),Ceske Budejovice (Pallet),CZ
60,Brno (Pallet),Brno (Pallet),CZ
61,Liberec (Pallet),Liberec (Pallet),CZ
62,Pribram,Pribram,CZ
63,Ceske Budejovice - Vrbenska,Ceske Budejovice,CZ
64,Namest nad Oslavou,Namest nad Oslavou,CZ
65,Vsetin,Vsetin,CZ
66,Jesenik,Jesenik,CZ
67,Kladno,Kladno,CZ
68,Blucina,Blucina,CZ
69,Dubec,Dubec,CZ
70,Nove Modlany,Nove Modlany,CZ
71,Speyer,PZ 67 (Speyer),DE
72,Köln,PZ 50 (Köln),DE
73,Radefeld,PZ 04 (Radefeld/Leipzig),DE
74,Feucht,PZ 90 (Feucht/Nürnberg),DE
75,Lahr,PZ 77 (Lahr),DE
76,Regensburg,PZ 93 (Regensburg),DE
77,Hamburg,PZ 21 (Hamburg),DE
78,Dorsten,PZ 46 (Dorsten),DE
79,Hagen,PZ 58 (Hagen),DE
80,Neuwied,PZ 08 (Neumark),DE
81,Krefeld,PZ 47 (Krefeld),DE
82,Rüdersdorf,PZ 15 (Rüdersdorf),DE
83,PZ 01 (Ottendorf-Okrilla),PZ 01 (Ottendorf,DE
84,PZ 14 (Börnicke),PZ 14 (Börnicke),DE
85,PZ 17 (Neustrelitz),PZ 17 (Neustrelitz),DE
86,Neumünster,PZ 24 (Neumünster),DE
87,PZ 28 (Bremen GVZ),PZ 28 (Bremen GVZ),DE
88,PZ 28 (Bremen),PZ 28 (Bremen),DE
89,PZ 30 (Hannover),PZ 30 (Hannover),DE
90,PZ 33 (Bielefeld),PZ 33 (Bielefeld),DE
91,PZ 34 (Staufenberg),PZ 34 (Staufenberg),DE
92,PZ 39 (Osterweddingen/Sülzetal),PZ 39 (Osterweddingen/Sülzetal),DE
93,PZ 48 (Greven),PZ 48 (Greven),DE
94,PZ 55 (Saulheim),PZ 55 (Saulheim),DE
95,PZ 56 (Neuwied),PZ 56 (Neuwied),DE
96,PZ 63 (Rodgau),PZ 63 (Rodgau),DE
97,PZ 63 (Obertshausen),PZ 63 (Obertshausen),DE
98,PZ 72 (Eutingen im Gäu),PZ 72 (Eutingen im Gäu),DE
99,PZ 73 (Köngen),PZ 73 (Köngen),DE
100,PZ 76 (Bruchsal),PZ 76 (Bruchsal),DE
101,PZ 85 (Aschheim),PZ 85 (Aschheim),DE
102,PZ 86 (Augsburg),PZ 86 (Augsburg),DE
103,PZ 89 (Günzburg),PZ 89 (Günzburg),DE
104,PZ 97 (Kitzingen),PZ 97 (Kitzingen),DE
105,PZ 99 (Nohra),PZ 99 (Nohra),DE
106,Bochum,PZ 44 (Bochum) [im Bau],DE
107,Kolding,Kolding,DK
108,Hägersten/ Kastrup,Hägersten/ Kastrup,DK
109,Brøndby,Brøndby,DK
110,Barcelona,Barcelona,ES
111,Madrid,Madrid,ES
112,Vitoria,Araba (Vitoria),ES
113,Albacete,Albacete,ES
114,Almeria,Almeria,ES
115,Ávila,Ávila,ES
116,Badajoz,Badajoz,ES
117,Burgos,Burgos,ES
118,Navalmoral,Navalmoral,ES
119,Cádiz,Cádiz,ES
120,Córdoba,Córdoba,ES
121,Cuenca,Cuenca,ES
122,Granada,Granada,ES
123,Huesca,Huesca,ES
124,Las Palmas,Las Palmas,ES
125,León,León,ES
