,From,To,Truck type,Frequency
0,Ostrava-CZ,Zabrze-PL,Trailer,5
1,Plzen 1-CZ,PZ 90 (Feucht/Nürnberg)-DE,2 swap bodies,5
2,PZ 67 (Speyer)-DE,Barcelona-ES,Trailer,5
3,PZ 67 (Speyer)-DE,Barcelona-ES,Trailer,4
4,PZ 67 (Speyer)-DE,Barcelona-ES,Trailer,1
5,PZ 67 (Speyer)-DE,Madrid-ES,Trailer,1
6,PZ 67 (Speyer)-DE,Madrid-ES,Trailer,1
7,PZ 67 (Speyer)-DE,Madrid-ES,Trailer,3
8,PZ 67 (Speyer)-DE,Araba (Vitoria)-ES,Trailer,1
9,PZ 67 (Speyer)-DE,Lisboa-PT,Trailer,4
10,PZ 67 (Speyer)-DE,Lisboa-PT,Trailer,1
11,Barcelona-ES,PZ 67 (Speyer)-DE,Trailer,5
12,Barcelona-ES,PZ 67 (Speyer)-DE,Trailer,1
13,Combs la ville-FR,PZ 77 (Lahr)-DE,Trailer,1
14,Slough-GB,PZ 50 (Köln)-DE,SEMI TRAILER,4
15,Slough-GB,PZ 50 (Köln)-DE,SEMI TRAILER,1
16,Slough-GB,PZ 50 (Köln)-DE,SEMI TRAILER,4
17,Slough-GB,PZ 50 (Köln)-DE,SEMI TRAILER,1
18,Slough-GB,PZ 50 (Köln)-DE,SEMI TRAILER,1
19,Ryton Gateway-GB,PZ 50 (Köln)-DE,SEMI TRAILER,5
20,Zaltbommel-NL,PZ 44 (Bochum) [im Bau]-DE,Trailer,1
21,Zaltbommel-NL,PZ 47 (Krefeld)-DE,Trailer,1
22,Zaltbommel-NL,PZ 47 (Krefeld)-DE,Trailer,1
23,Zaltbommel-NL,PZ 50 (Köln)-DE,1 swap body,5
24,Zaltbommel-NL,PZ 08 (Neumark)-DE,1 swap body,5
25,Zaltbommel-NL,PZ 93 (Regensburg)-DE,1 swap body,5
26,Zaltbommel-NL,PZ 47 (Krefeld)-DE,1 swap body,5
27,Eindhoven-Noord-NL,Barcelona-ES,Trailer,4
28,Eindhoven-Noord-NL,Barcelona-ES,Trailer,1
29,Eindhoven-Noord-NL,Madrid-ES,Trailer,3
30,Eindhoven-Noord-NL,Madrid-ES,Trailer,1
31,Eindhoven-Noord-NL,Madrid-ES,Trailer,1
32,Eindhoven-Noord-NL,Araba (Vitoria)-ES,Trailer,1
33,Eindhoven-Noord-NL,Araba (Vitoria)-ES,Trailer,4
34,Eindhoven-Noord-NL,Araba (Vitoria)-ES,Trailer,4
35,Eindhoven-Noord-NL,Araba (Vitoria)-ES,Trailer,1
36,Eindhoven-Noord-NL,Combs la ville-FR,Trailer,4
37,Eindhoven-Noord-NL,Combs la ville-FR,Trailer,1
38,Zaltbommel-NL,Ryton Gateway-GB,Trailer,4
39,Zaltbommel-NL,Ryton Gateway-GB,Trailer,1
40,Eindhoven-Noord-NL,Ryton Gateway-GB,Trailer,4
41,Eindhoven-Noord-NL,Ryton Gateway-GB,Trailer,1
42,Eindhoven-Noord-NL,Ryton Gateway-GB,Trailer,4
43,Eindhoven-Noord-NL,Ryton Gateway-GB,Trailer,1
44,Eindhoven-Noord-NL,Ryton Gateway-GB,Trailer,4
45,Eindhoven-Noord-NL,Ryton Gateway-GB,Trailer,1
46,Eindhoven-Noord-NL,Koninko-PL,Trailer,4
47,Eindhoven-Noord-NL,Koninko-PL,Trailer,1
48,Eindhoven-Noord-NL,Poznań-PL,Trailer,4
49,Eindhoven-Noord-NL,Poznań-PL,Trailer,1
50,Eindhoven-Noord-NL,Arlöv-SE,Trailer,4
51,Eindhoven-Noord-NL,Arlöv-SE,Trailer,1
52,Eindhoven-Noord-NL,Arlöv-SE,Trailer,4
53,Eindhoven-Noord-NL,Arlöv-SE,Trailer,1
54,Suwałki (Ełk)-PL,Kaunas-LT,van,5
55,Poznań-PL,PZ 15 (Rüdersdorf)-DE,2 swap bodies,5
56,Poznań-PL,PZ 15 (Rüdersdorf)-DE,2 swap bodies,5
57,Poznań-PL,PZ 15 (Rüdersdorf)-DE,2 swap bodies,5
58,Zabrze-PL,Ostrava-CZ,trailer,5
59,Göteborg-SE,Oslo-NO,trailer,4
60,Göteborg-SE,Oslo-NO,trailer,1
61,Göteborg-SE,Oslo-NO,trailer,5
62,Stockholm - Västberga-SE,Lieto (Turku)-FL,trailer,5
63,Stockholm - Västberga-SE,Lieto (Turku)-FL,trailer,5
64,Helsingborg-SE,Eindhoven-Noord-NL,trailer,4
65,Helsingborg-SE,Eindhoven-Noord-NL,trailer,1
66,Lieto (Turku)-FL,Stockholm - Västberga-SE,trailer,4
67,Lieto (Turku)-FL,Stockholm - Västberga-SE,trailer,4
68,PZ 50 (Köln)-DE,Brüssel-BE,Trailer,5
69,PZ 50 (Köln)-DE,Brüssel-BE,Trailer,6
70,PZ 50 (Köln)-DE,Brüssel-BE,Trailer,5
71,PZ 46 (Dorsten)-DE,Zaltbommel-NL,2 swap bodies,5
72,PZ 46 (Dorsten)-DE,Zaltbommel-NL,2 swap bodies,5
73,PZ 46 (Dorsten)-DE,Zaltbommel-NL,2 swap bodies,5
74,PZ 46 (Dorsten)-DE,Zaltbommel-NL,2 swap bodies,5
75,PZ 46 (Dorsten)-DE,Zaltbommel-NL,2 swap bodies,5
76,PZ 46 (Dorsten)-DE,Zaltbommel-NL,2 swap bodies,5
77,PZ 46 (Dorsten)-DE,Zaltbommel-NL,2 swap bodies,5
78,PZ 46 (Dorsten)-DE,Zaltbommel-NL,2 swap bodies,5
79,PZ 46 (Dorsten)-DE,Zaltbommel-NL,2 swap bodies,5
80,PZ 50 (Köln)-DE,Bettembourg-LU,Trailer,5
81,PZ 50 (Köln)-DE,Bettembourg-LU,Trailer,4
82,PZ 50 (Köln)-DE,Bettembourg-LU,Trailer,2
