,Unnamed: 0,Ori. ,Dest.,Connect movement,Org. GTW,Dst. GTW,Mo,Tu,We,Th,Fr,Sa,Su,Truck type,index,Frequency,From,To
0,0,CZ,PL,Y,Ostrava,Zabrze,X,X,X,X,X,,,Trailer,0,5,Ostrava-CZ,Zabrze-PL
1,1,CZ,DE,Y,Plzen,Feucht,X,X,X,X,X,,,2 swap bodies,1,5,Plzen-CZ,PZ 90 (Feucht/Nürnberg)-DE
2,2,DE,ES,Y,Speyer,Barcelona,,X,X,X,X,X,,Trailer,2,5,PZ 67 (Speyer)-DE,Barcelona-ES
3,3,DE,ES,Y,Speyer,Barcelona,,X,X,X,X,,,Trailer,3,4,PZ 67 (Speyer)-DE,Barcelona-ES
4,4,DE,ES,Y,Speyer,Barcelona,,,,,,X,,Trailer,4,1,PZ 67 (Speyer)-DE,Barcelona-ES
5,5,DE,ES,Y,Speyer,Madrid,,,,,X,,,Trailer,5,1,PZ 67 (Speyer)-DE,Madrid-ES
6,6,DE,ES,Y,Speyer,Madrid,,,,,,X,,Trailer,6,1,PZ 67 (Speyer)-DE,Madrid-ES
7,7,DE,ES,Y,Speyer,Madrid,,X,X,X,,,,Trailer,7,3,PZ 67 (Speyer)-DE,Madrid-ES
8,8,DE,ES,Y,Speyer,Vitoria,,,,,,X,,Trailer,8,1,PZ 67 (Speyer)-DE,Araba (Vitoria)-ES
9,9,DE,PT,Y,Speyer,Lisbon,X,X,X,X,,,,Trailer,9,4,PZ 67 (Speyer)-DE,Lisboa-PT
10,10,DE,PT,Y,Speyer,Lisbon,,,,,X,,,Trailer,10,1,PZ 67 (Speyer)-DE,Lisboa-PT
11,11,ES,DE,Y,Barcelona,Speyer,X,X,X,X,X,,,Trailer,11,5,Barcelona-ES,PZ 67 (Speyer)-DE
12,12,ES,DE,Y,Barcelona,Speyer,X,,,,,,,Trailer,12,1,Barcelona-ES,PZ 67 (Speyer)-DE
13,13,FR,DE,Y,Combs-la-Ville,Lahr,,,,,X,,,Trailer,13,1,Combs la ville-FR,PZ 77 (Lahr)-DE
14,14,GB,DE,Y,Slough,Köln,,X,X,X,X,,,SEMI TRAILER,14,4,Slough-GB,PZ 50 (Köln)-DE
15,15,GB,DE,Y,Slough,Köln,,,,,,X,,SEMI TRAILER,15,1,Slough-GB,PZ 50 (Köln)-DE
16,16,GB,DE,Y,Slough,Köln,,X,X,X,X,,,SEMI TRAILER,16,4,Slough-GB,PZ 50 (Köln)-DE
17,17,GB,DE,Y,Slough,Köln,,,,,,X,,SEMI TRAILER,17,1,Slough-GB,PZ 50 (Köln)-DE
18,18,GB,DE,Y,Slough,Köln,,,X,,,,,SEMI TRAILER,18,1,Slough-GB,PZ 50 (Köln)-DE
19,19,GB,DE,Y,Ryton,Köln,,X,X,X,X,,X,SEMI TRAILER,19,5,Ryton Gateway-GB,PZ 50 (Köln)-DE
20,20,NL,DE,Y,Zaltbommel,Bochum,,X,,,,,,Trailer,20,1,Zaltbommel-NL,PZ 44 (Bochum) [im Bau]-DE
21,21,NL,DE,Y,Zaltbommel,Krefeld,,,,,,X,,Trailer,21,1,Zaltbommel-NL,PZ 47 (Krefeld)-DE
22,22,NL,DE,Y,Zaltbommel,Krefeld,,,,,,X,,Trailer,22,1,Zaltbommel-NL,PZ 47 (Krefeld)-DE
23,23,NL,DE,Y,Zaltbommel,Köln,X,X,X,X,X,,,1 swap body,23,5,Zaltbommel-NL,PZ 50 (Köln)-DE
24,24,NL,DE,Y,Zaltbommel,Neuwied,X,X,X,X,X,,,1 swap body,24,5,Zaltbommel-NL,PZ 08 (Neumark)-DE
25,25,NL,DE,Y,Zaltbommel,Regensburg,X,X,X,X,X,,,1 swap body,25,5,Zaltbommel-NL,PZ 93 (Regensburg)-DE
26,26,NL,DE,Y,Zaltbommel,Krefeld,X,X,X,X,X,,,1 swap body,26,5,Zaltbommel-NL,PZ 47 (Krefeld)-DE
27,27,NL,ES,Y,EINDHOVEN,Barcelona,,X,X,X,X,,,Trailer,27,4,Eindhoven-Noord-NL,Barcelona-ES
28,28,NL,ES,Y,EINDHOVEN,Barcelona,,,,,,X,,Trailer,28,1,Eindhoven-Noord-NL,Barcelona-ES
29,29,NL,ES,Y,EINDHOVEN,Madrid,,X,X,X,,,,Trailer,29,3,Eindhoven-Noord-NL,Madrid-ES
