,Origin,Dest.,Transit,agg,city,DE,DIRECT,NL,PL,LT,FI,SK,ES,CZ
0,AT,AT,,ATAT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AT,BE,DE,ATBE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AT,BG,DE,ATBG,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AT,CZ,DIRECT,ATCZ,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AT,DE,DIRECT,ATDE,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AT,DK,DE,ATDK,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,AT,EE,"DE
LT",ATEE,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,AT,ES,DE,ATES,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,AT,FI,DE,ATFI,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AT,FR,DE,ATFR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AT,GB,DE,ATGB,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AT,GR,DE,ATGR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AT,HR,DE,ATHR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,AT,HU,DE,ATHU,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,AT,IE,DE,ATIE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,AT,LT,,ATLT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,AT,LU,DE,ATLU,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,AT,LV,"DE
LT",ATLV,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,AT,NL,DE,ATNL,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,AT,NO,,ATNO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,AT,PL,DIRECT,ATPL,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,AT,PT,DE,ATPT,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,AT,RO,DE,ATRO,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,AT,SE,DE,ATSE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,AT,SI,DE,ATSI,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,AT,SK,DE,ATSK,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,AT,CY,DE,ATCY,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,AT,IT,DE,ATIT,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,BE,AT,NL,BEAT,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,BE,BE,NL,BEBE,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,BE,BG,NL,BEBG,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,BE,CZ,NL,BECZ,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,BE,DE,NL,BEDE,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,BE,DK,NL,BEDK,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,BE,EE,NL,BEEE,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,BE,ES,NL,BEES,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,BE,FI,NL,BEFI,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,BE,FR,NL,BEFR,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,BE,GB,NL,BEGB,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,BE,GR,NL,BEGR,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,BE,HR,NL,BEHR,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,BE,HU,NL,BEHU,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,BE,IE,NL,BEIE,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,BE,LT,NL,BELT,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,BE,LU,NL,BELU,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,BE,LV,NL,BELV,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,BE,NL,NL,BENL,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,BE,NO,NL,BENO,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,BE,PL,NL,BEPL,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,BE,PT,NL,BEPT,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,BE,RO,NL,BERO,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,BE,SE,NL,BESE,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,BE,SI,NL,BESI,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,BE,SK,NL,BESK,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,BE,CY,NL,BECY,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,BE,IT,NL,BEIT,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,BG,AT,DE,BGAT,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,BG,BE,DE,BGBE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,BG,BG,,BGBG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
