,Origin Country,Destination Country,From,To,Distance,Duration,est_tt
0,AT,AT,Hub Graz-AT,Hub Graz-AT,0.0,0.0,1.4
1,AT,AT,Hub Graz-AT,Hub Wien I-AT,198.409,1.8833333333333333,4.036666666666666
2,AT,BE,Hub Graz-AT,Brüssel-BE,1122.724,9.45,22.629999999999995
3,AT,BG,Hub Graz-AT,Sofia-BG,951.814,9.333333333333334,22.466666666666665
4,AT,CZ,Hub Graz-AT,Brno-CZ,341.843,3.45,6.23
5,AT,CZ,Hub Graz-AT,Ostrava-CZ,496.848,4.85,8.19
6,AT,CZ,Hub Graz-AT,Krupka 1-CZ,579.525,6.25,10.15
7,AT,CZ,Hub Graz-AT,Plzen 1-CZ,492.741,5.183333333333334,8.656666666666666
8,AT,CZ,Hub Graz-AT,Hradec Kralove - Brezhrad-CZ,484.068,5.566666666666666,9.193333333333332
9,AT,DE,Hub Graz-AT,PZ 67 (Speyer)-DE,735.792,6.449999999999999,10.429999999999998
10,AT,DE,Hub Graz-AT,PZ 50 (Köln)-DE,915.749,7.700000000000001,12.180000000000001
11,AT,DE,Hub Graz-AT,PZ 04 (Radefeld/Leipzig)-DE,749.381,6.416666666666666,10.383333333333333
12,AT,DE,Hub Graz-AT,PZ 90 (Feucht/Nürnberg)-DE,504.502,4.433333333333334,7.606666666666667
13,AT,DE,Hub Graz-AT,PZ 77 (Lahr)-DE,785.385,7.0,11.2
14,AT,DE,Hub Graz-AT,PZ 93 (Regensburg)-DE,407.359,3.6499999999999995,6.509999999999998
15,AT,DE,Hub Graz-AT,PZ 21 (Hamburg)-DE,1111.942,9.266666666666667,22.373333333333335
16,AT,DE,Hub Graz-AT,PZ 46 (Dorsten)-DE,993.646,8.316666666666666,13.043333333333333
17,AT,DE,Hub Graz-AT,PZ 58 (Hagen)-DE,928.801,7.800000000000001,12.32
18,AT,DE,Hub Graz-AT,PZ 08 (Neumark)-DE,641.489,5.666666666666667,9.333333333333334
19,AT,DE,Hub Graz-AT,PZ 47 (Krefeld)-DE,978.892,8.166666666666666,12.833333333333332
20,AT,DE,Hub Graz-AT,PZ 15 (Rüdersdorf)-DE,942.471,7.966666666666667,12.553333333333333
21,AT,DK,Hub Graz-AT,Kolding-DK,1304.816,12.766666666666666,27.27333333333333
22,AT,ES,Hub Graz-AT,Barcelona-ES,1622.161,14.599999999999998,29.839999999999993
23,AT,ES,Hub Graz-AT,Madrid-ES,2235.059,20.0,45.4
24,AT,ES,Hub Graz-AT,Araba (Vitoria)-ES,1981.805,17.783333333333335,42.29666666666667
25,AT,FL,Hub Graz-AT,Lieto (Turku)-FL,2142.775,25.983333333333334,61.776666666666664
26,AT,FL,Hub Graz-AT,Vantaa (Helsinki)-FL,1996.494,24.800000000000004,52.120000000000005
27,AT,FR,Hub Graz-AT,Combs la ville-FR,1256.149,10.816666666666666,24.54333333333333
28,AT,GB,Hub Graz-AT,Slough-GB,1529.653,14.116666666666667,29.16333333333333
29,AT,GB,Hub Graz-AT,Ryton Gateway-GB,1930.063,17.733333333333334,42.22666666666667
30,AT,GR,Hub Graz-AT,Spata-GR,1662.757,15.416666666666664,30.983333333333327
31,AT,HR,Hub Graz-AT,Zagreb-HR,166.909,1.7666666666666666,3.873333333333333
32,AT,HU,Hub Graz-AT,Budapest OLK-HU,342.722,3.4333333333333336,6.206666666666667
