,0,1,2
0,Hub Wien I-AT,Sofia-BG,107.0
1,Hub Wien II-AT,Sofia-BG,-0.0
2,Hub Graz-AT,Sofia-BG,-0.0
3,Hagenbrunn-AT,Sofia-BG,-0.0
4,Allhaming-AT,Sofia-BG,-0.0
5,Enns-AT,Sofia-BG,-0.0
6,Wernberg-AT,Sofia-BG,-0.0
7,Wals-AT,Sofia-BG,378.0
8,Hall in Tirol-AT,Sofia-BG,-0.0
9,Liesing-AT,Sofia-BG,-0.0
10,Wundschuh-AT,Sofia-BG,-0.0
11,Hub Wien I-AT,Kolding-DK,-0.0
12,Hub Wien II-AT,Kolding-DK,-0.0
13,Hub Graz-AT,Kolding-DK,-0.0
14,Hagenbrunn-AT,Kolding-DK,-0.0
15,Allhaming-AT,Kolding-DK,-0.0
16,Enns-AT,Kolding-DK,-0.0
17,Wernberg-AT,Kolding-DK,-0.0
18,Wals-AT,Kolding-DK,-0.0
19,Hall in Tirol-AT,Kolding-DK,-0.0
20,Liesing-AT,Kolding-DK,-0.0
21,Wundschuh-AT,Kolding-DK,-0.0
22,Hub Wien I-AT,Barcelona-ES,-0.0
23,Hub Wien I-AT,Madrid-ES,-0.0
24,Hub Wien I-AT,Araba (Vitoria)-ES,-0.0
25,Hub Wien II-AT,Barcelona-ES,-0.0
26,Hub Wien II-AT,Madrid-ES,-0.0
27,Hub Wien II-AT,Araba (Vitoria)-ES,-0.0
28,Hub Graz-AT,Barcelona-ES,-0.0
29,Hub Graz-AT,Madrid-ES,-0.0
30,Hub Graz-AT,Araba (Vitoria)-ES,-0.0
31,Hagenbrunn-AT,Barcelona-ES,-0.0
32,Hagenbrunn-AT,Madrid-ES,-0.0
33,Hagenbrunn-AT,Araba (Vitoria)-ES,-0.0
34,Allhaming-AT,Barcelona-ES,-0.0
35,Allhaming-AT,Madrid-ES,-0.0
36,Allhaming-AT,Araba (Vitoria)-ES,-0.0
37,Enns-AT,Barcelona-ES,-0.0
38,Enns-AT,Madrid-ES,-0.0
39,Enns-AT,Araba (Vitoria)-ES,-0.0
40,Wernberg-AT,Barcelona-ES,-0.0
41,Wernberg-AT,Madrid-ES,-0.0
42,Wernberg-AT,Araba (Vitoria)-ES,-0.0
43,Wals-AT,Barcelona-ES,-0.0
44,Wals-AT,Madrid-ES,-0.0
45,Wals-AT,Araba (Vitoria)-ES,-0.0
46,Hall in Tirol-AT,Barcelona-ES,-0.0
47,Hall in Tirol-AT,Madrid-ES,-0.0
48,Hall in Tirol-AT,Araba (Vitoria)-ES,-0.0
49,Liesing-AT,Barcelona-ES,-0.0
50,Liesing-AT,Madrid-ES,-0.0
51,Liesing-AT,Araba (Vitoria)-ES,-0.0
52,Wundschuh-AT,Barcelona-ES,-0.0
53,Wundschuh-AT,Madrid-ES,-0.0
54,Wundschuh-AT,Araba (Vitoria)-ES,-0.0
55,Hub Wien I-AT,Lieto (Turku)-FL,-0.0
56,Hub Wien I-AT,Vantaa (Helsinki)-FL,-0.0
57,Hub Wien II-AT,Lieto (Turku)-FL,-0.0
58,Hub Wien II-AT,Vantaa (Helsinki)-FL,-0.0
59,Hub Graz-AT,Lieto (Turku)-FL,-0.0
60,Hub Graz-AT,Vantaa (Helsinki)-FL,-0.0
61,Hagenbrunn-AT,Lieto (Turku)-FL,-0.0
62,Hagenbrunn-AT,Vantaa (Helsinki)-FL,-0.0
63,Allhaming-AT,Lieto (Turku)-FL,-0.0
64,Allhaming-AT,Vantaa (Helsinki)-FL,-0.0
65,Enns-AT,Lieto (Turku)-FL,-0.0
66,Enns-AT,Vantaa (Helsinki)-FL,-0.0
67,Wernberg-AT,Lieto (Turku)-FL,-0.0
68,Wernberg-AT,Vantaa (Helsinki)-FL,-0.0
69,Wals-AT,Lieto (Turku)-FL,-0.0
70,Wals-AT,Vantaa (Helsinki)-FL,-0.0
71,Hall in Tirol-AT,Lieto (Turku)-FL,-0.0
72,Hall in Tirol-AT,Vantaa (Helsinki)-FL,-0.0
73,Liesing-AT,Lieto (Turku)-FL,-0.0
74,Liesing-AT,Vantaa (Helsinki)-FL,-0.0
75,Wundschuh-AT,Lieto (Turku)-FL,-0.0
76,Wundschuh-AT,Vantaa (Helsinki)-FL,-0.0
77,Hub Wien I-AT,Combs la ville-FR,-0.0
78,Hub Wien II-AT,Combs la ville-FR,-0.0
79,Hub Graz-AT,Combs la ville-FR,-0.0
80,Hagenbrunn-AT,Combs la ville-FR,-0.0
81,Allhaming-AT,Combs la ville-FR,-0.0
82,Enns-AT,Combs la ville-FR,-0.0
83,Wernberg-AT,Combs la ville-FR,-0.0
84,Wals-AT,Combs la ville-FR,-0.0
85,Hall in Tirol-AT,Combs la ville-FR,-0.0
86,Liesing-AT,Combs la ville-FR,-0.0
87,Wundschuh-AT,Combs la ville-FR,-0.0
88,Hub Wien I-AT,Slough-GB,-0.0
89,Hub Wien I-AT,Ryton Gateway-GB,-0.0
90,Hub Wien II-AT,Slough-GB,-0.0
91,Hub Wien II-AT,Ryton Gateway-GB,-0.0
92,Hub Graz-AT,Slough-GB,-0.0
93,Hub Graz-AT,Ryton Gateway-GB,-0.0
94,Hagenbrunn-AT,Slough-GB,-0.0
95,Hagenbrunn-AT,Ryton Gateway-GB,-0.0
96,Allhaming-AT,Slough-GB,-0.0
97,Allhaming-AT,Ryton Gateway-GB,-0.0
98,Enns-AT,Slough-GB,-0.0
99,Enns-AT,Ryton Gateway-GB,-0.0
100,Wernberg-AT,Slough-GB,-0.0
101,Wernberg-AT,Ryton Gateway-GB,-0.0
102,Wals-AT,Slough-GB,-0.0
103,Wals-AT,Ryton Gateway-GB,-0.0
104,Hall in Tirol-AT,Slough-GB,-0.0
105,Hall in Tirol-AT,Ryton Gateway-GB,-0.0
106,Liesing-AT,Slough-GB,-0.0
107,Liesing-AT,Ryton Gateway-GB,-0.0
108,Wundschuh-AT,Slough-GB,-0.0
109,Wundschuh-AT,Ryton Gateway-GB,-0.0
110,Hub Wien I-AT,Spata-GR,-0.0
111,Hub Wien II-AT,Spata-GR,-0.0
112,Hub Graz-AT,Spata-GR,-0.0
113,Hagenbrunn-AT,Spata-GR,-0.0
114,Allhaming-AT,Spata-GR,-0.0
115,Enns-AT,Spata-GR,-0.0
116,Wernberg-AT,Spata-GR,-0.0
117,Wals-AT,Spata-GR,-0.0
118,Hall in Tirol-AT,Spata-GR,-0.0
119,Liesing-AT,Spata-GR,-0.0
120,Wundschuh-AT,Spata-GR,-0.0
121,Hub Wien I-AT,Zagreb-HR,-0.0
122,Hub Wien II-AT,Zagreb-HR,-0.0
123,Hub Graz-AT,Zagreb-HR,-0.0
124,Hagenbrunn-AT,Zagreb-HR,-0.0
125,Allhaming-AT,Zagreb-HR,-0.0
126,Enns-AT,Zagreb-HR,-0.0
127,Wernberg-AT,Zagreb-HR,-0.0
128,Wals-AT,Zagreb-HR,755.0
129,Hall in Tirol-AT,Zagreb-HR,-0.0
130,Liesing-AT,Zagreb-HR,-0.0
131,Wundschuh-AT,Zagreb-HR,-0.0
132,Hub Wien I-AT,Budapest OLK-HU,186.0
133,Hub Wien I-AT,Budapest NPKK (OE)-HU,0.0
134,Hub Wien II-AT,Budapest OLK-HU,-0.0
135,Hub Wien II-AT,Budapest NPKK (OE)-HU,-0.0
136,Hub Graz-AT,Budapest OLK-HU,-0.0
137,Hub Graz-AT,Budapest NPKK (OE)-HU,-0.0
138,Hagenbrunn-AT,Budapest OLK-HU,-0.0
139,Hagenbrunn-AT,Budapest NPKK (OE)-HU,-0.0
140,Allhaming-AT,Budapest OLK-HU,-0.0
141,Allhaming-AT,Budapest NPKK (OE)-HU,-0.0
142,Enns-AT,Budapest OLK-HU,-0.0
143,Enns-AT,Budapest NPKK (OE)-HU,-0.0
144,Wernberg-AT,Budapest OLK-HU,-0.0
145,Wernberg-AT,Budapest NPKK (OE)-HU,-0.0
146,Wals-AT,Budapest OLK-HU,-0.0
147,Wals-AT,Budapest NPKK (OE)-HU,-0.0
148,Hall in Tirol-AT,Budapest OLK-HU,-0.0
149,Hall in Tirol-AT,Budapest NPKK (OE)-HU,-0.0
150,Liesing-AT,Budapest OLK-HU,-0.0
151,Liesing-AT,Budapest NPKK (OE)-HU,-0.0
152,Wundschuh-AT,Budapest OLK-HU,-0.0
153,Wundschuh-AT,Budapest NPKK (OE)-HU,-0.0
154,Hub Wien I-AT,Portlaoise-IE,-0.0
155,Hub Wien I-AT,Dublin-IE,-0.0
156,Hub Wien II-AT,Portlaoise-IE,-0.0
157,Hub Wien II-AT,Dublin-IE,-0.0
158,Hub Graz-AT,Portlaoise-IE,-0.0
159,Hub Graz-AT,Dublin-IE,-0.0
160,Hagenbrunn-AT,Portlaoise-IE,-0.0
161,Hagenbrunn-AT,Dublin-IE,-0.0
162,Allhaming-AT,Portlaoise-IE,-0.0
163,Allhaming-AT,Dublin-IE,-0.0
164,Enns-AT,Portlaoise-IE,-0.0
165,Enns-AT,Dublin-IE,-0.0
166,Wernberg-AT,Portlaoise-IE,-0.0
167,Wernberg-AT,Dublin-IE,-0.0
168,Wals-AT,Portlaoise-IE,-0.0
