,0,1,2
0,AT,CZ,1.0
1,AT,DE,1.0
2,AT,NL,0.0
3,AT,PL,1.0
4,BE,AT,1.0
5,BE,BG,0.0
6,BE,CZ,0.0
7,BE,DE,1.0
8,BE,DK,1.0
9,BE,ES,1.0
10,BE,FL,-0.0
11,BE,FR,1.0
12,BE,GB,1.0
13,BE,GR,0.0
14,BE,HR,0.0
15,BE,HU,-0.0
16,BE,IE,-0.0
17,BE,LT,0.0
18,BE,PL,1.0
19,BE,PT,0.0
20,BE,SE,-0.0
21,BE,SI,0.0
22,BE,SK,-0.0
23,BG,AT,1.0
24,BG,DE,0.0
25,BG,ES,0.0
26,BG,FL,-0.0
27,BG,LT,1.0
28,BG,PT,0.0
29,CZ,AT,1.0
30,CZ,DE,1.0
31,CZ,ES,1.0
32,CZ,FL,0.0
33,CZ,HU,1.0
34,CZ,IE,0.0
35,CZ,LT,-0.0
36,CZ,PL,1.0
37,CZ,PT,0.0
38,CZ,SE,0.0
39,DE,AT,1.0
40,DE,BE,1.0
41,DE,BG,1.0
42,DE,CZ,1.0
43,DE,DK,1.0
44,DE,ES,1.0
45,DE,FR,1.0
46,DE,GB,1.0
47,DE,GR,0.0
48,DE,HR,1.0
49,DE,HU,1.0
50,DE,IE,0.0
51,DE,LT,0.0
52,DE,LU,1.0
53,DE,NL,1.0
54,DE,NO,1.0
55,DE,PL,1.0
56,DE,PT,1.0
57,DE,SE,1.0
58,DE,SI,1.0
59,DE,SK,1.0
60,ES,AT,1.0
61,ES,BE,1.0
62,ES,BG,0.0
63,ES,CZ,0.0
64,ES,DE,1.0
65,ES,DK,0.0
66,ES,FL,0.0
67,ES,GB,1.0
68,ES,GR,0.0
69,ES,HR,0.0
70,ES,HU,-0.0
71,ES,IE,0.0
72,ES,LT,0.0
73,ES,LU,-0.0
74,ES,NL,1.0
75,ES,PL,0.0
76,ES,RO,-0.0
77,ES,SE,1.0
78,ES,SI,-0.0
79,ES,SK,0.0
80,FL,AT,1.0
81,FL,BE,1.0
82,FL,BG,-0.0
83,FL,CZ,0.0
84,FL,DE,1.0
85,FL,DK,1.0
86,FL,ES,0.0
87,FL,HU,-0.0
88,FL,LU,0.0
89,FL,NL,1.0
90,FL,PL,1.0
91,FL,PT,0.0
92,FL,SE,1.0
93,FL,SI,-0.0
94,FL,SK,0.0
95,GB,AT,1.0
96,GB,BE,1.0
97,GB,BG,-0.0
98,GB,CZ,-0.0
99,GB,DE,1.0
100,GB,DK,0.0
101,GB,ES,1.0
102,GB,FL,-0.0
103,GB,FR,1.0
104,GB,GR,-0.0
105,GB,HR,0.0
106,GB,HU,1.0
107,GB,LT,-0.0
108,GB,LU,1.0
109,GB,NL,1.0
110,GB,PL,0.0
111,GB,PT,-0.0
112,GB,RO,0.0
113,GB,SI,-0.0
114,GB,SK,1.0
115,HU,AT,1.0
116,HU,BE,-0.0
117,HU,CZ,1.0
118,HU,DE,1.0
119,HU,LU,0.0
120,HU,NL,0.0
121,HU,PL,1.0
122,HU,SI,0.0
123,HU,SK,1.0
124,LT,SE,-0.0
125,NL,AT,1.0
126,NL,BG,-0.0
127,NL,CZ,1.0
128,NL,DE,1.0
129,NL,DK,1.0
130,NL,ES,1.0
131,NL,FL,1.0
132,NL,FR,1.0
133,NL,GB,1.0
134,NL,GR,1.0
135,NL,HR,-0.0
136,NL,HU,1.0
137,NL,IE,1.0
138,NL,LT,1.0
139,NL,PL,1.0
140,NL,PT,1.0
141,NL,RO,-0.0
142,NL,SE,1.0
143,NL,SI,1.0
144,NL,SK,1.0
145,PL,AT,1.0
146,PL,BE,1.0
147,PL,BG,1.0
148,PL,CZ,1.0
149,PL,DE,1.0
150,PL,DK,1.0
151,PL,ES,1.0
152,PL,FL,1.0
153,PL,GB,1.0
154,PL,HR,1.0
155,PL,HU,1.0
156,PL,IE,1.0
157,PL,LT,1.0
158,PL,LU,1.0
159,PL,NL,1.0
160,PL,PT,1.0
161,PL,RO,1.0
162,PL,SE,1.0
163,PL,SI,1.0
164,PL,SK,1.0
165,PT,AT,0.0
166,PT,BE,0.0
167,PT,BG,0.0
168,PT,CZ,0.0
169,PT,DE,1.0
170,PT,DK,0.0
171,PT,FL,-0.0
172,PT,GB,1.0
173,PT,GR,0.0
174,PT,HR,0.0
175,PT,HU,-0.0
176,PT,IE,0.0
177,PT,LT,0.0
178,PT,LU,0.0
179,PT,NL,1.0
180,PT,PL,0.0
181,PT,RO,0.0
182,PT,SE,-0.0
183,PT,SI,0.0
184,PT,SK,-0.0
185,SE,AT,1.0
186,SE,BE,-0.0
187,SE,BG,0.0
188,SE,CZ,1.0
189,SE,DE,1.0
190,SE,DK,1.0
191,SE,ES,1.0
192,SE,FL,1.0
193,SE,FR,0.0
194,SE,GB,1.0
195,SE,HR,0.0
196,SE,HU,0.0
197,SE,IE,0.0
198,SE,LU,0.0
199,SE,NL,1.0
200,SE,NO,1.0
201,SE,PL,1.0
202,SE,PT,0.0
203,SE,RO,0.0
204,SE,SI,-0.0
205,SE,SK,0.0
206,SI,AT,1.0
207,SI,BE,0.0
208,SI,DE,1.0
209,SI,NL,0.0
210,SI,PL,0.0
211,SK,CZ,1.0
