,0,1,2,3
0,AT,BE,CZ,-0.0
1,AT,BG,CZ,-0.0
2,AT,DE,CZ,0.0
3,AT,ES,CZ,-0.0
4,AT,FL,CZ,-0.0
5,AT,GB,CZ,-0.0
6,AT,HU,CZ,-0.0
7,AT,LT,CZ,-0.0
8,AT,NL,CZ,-0.0
9,AT,PL,CZ,-0.0
10,AT,PT,CZ,-0.0
11,AT,SE,CZ,-0.0
12,AT,SI,CZ,-0.0
13,AT,SK,CZ,-0.0
14,AT,DK,CZ,-0.0
15,AT,FR,CZ,-0.0
16,AT,GR,CZ,-0.0
17,AT,HR,CZ,-0.0
18,AT,IE,CZ,-0.0
19,AT,LU,CZ,-0.0
20,AT,NO,CZ,-0.0
21,AT,RO,CZ,-0.0
22,AT,BE,DE,-0.0
23,AT,BG,DE,-0.0
24,AT,CZ,DE,0.0
25,AT,ES,DE,-0.0
26,AT,FL,DE,-0.0
27,AT,GB,DE,-0.0
28,AT,HU,DE,-0.0
29,AT,LT,DE,-0.0
30,AT,NL,DE,-0.0
31,AT,PL,DE,-0.0
32,AT,PT,DE,-0.0
33,AT,SE,DE,-0.0
34,AT,SI,DE,-0.0
35,AT,SK,DE,-0.0
36,AT,DK,DE,-0.0
37,AT,FR,DE,-0.0
38,AT,GR,DE,-0.0
39,AT,HR,DE,-0.0
40,AT,IE,DE,-0.0
41,AT,LU,DE,-0.0
42,AT,NO,DE,-0.0
43,AT,RO,DE,-0.0
44,AT,BE,NL,-0.0
45,AT,BG,NL,-0.0
46,AT,CZ,NL,0.0
47,AT,DE,NL,1.0
48,AT,ES,NL,-0.0
49,AT,FL,NL,-0.0
50,AT,GB,NL,-0.0
51,AT,HU,NL,0.0
52,AT,LT,NL,-0.0
53,AT,PL,NL,0.0
54,AT,PT,NL,-0.0
55,AT,SE,NL,-0.0
56,AT,SI,NL,0.0
57,AT,SK,NL,-0.0
58,AT,DK,NL,-0.0
59,AT,FR,NL,-0.0
60,AT,GR,NL,-0.0
61,AT,HR,NL,-0.0
62,AT,IE,NL,-0.0
63,AT,LU,NL,-0.0
64,AT,NO,NL,-0.0
65,AT,RO,NL,-0.0
66,AT,BE,PL,-0.0
67,AT,BG,PL,-0.0
68,AT,CZ,PL,0.0
69,AT,DE,PL,0.0
70,AT,ES,PL,-0.0
71,AT,FL,PL,-0.0
72,AT,GB,PL,-0.0
73,AT,HU,PL,-0.0
74,AT,LT,PL,-0.0
75,AT,NL,PL,-0.0
76,AT,PT,PL,-0.0
77,AT,SE,PL,-0.0
78,AT,SI,PL,-0.0
79,AT,SK,PL,-0.0
80,AT,DK,PL,-0.0
81,AT,FR,PL,-0.0
82,AT,GR,PL,-0.0
83,AT,HR,PL,-0.0
84,AT,IE,PL,-0.0
85,AT,LU,PL,-0.0
86,AT,NO,PL,-0.0
87,AT,RO,PL,-0.0
88,BE,BG,AT,-0.0
89,BE,CZ,AT,0.0
90,BE,DE,AT,0.0
91,BE,ES,AT,-0.0
92,BE,FL,AT,-0.0
93,BE,GB,AT,-0.0
94,BE,HU,AT,-0.0
95,BE,LT,AT,-0.0
96,BE,NL,AT,-0.0
97,BE,PL,AT,-0.0
98,BE,PT,AT,-0.0
99,BE,SE,AT,-0.0
100,BE,SI,AT,-0.0
101,BE,SK,AT,-0.0
102,BE,DK,AT,-0.0
103,BE,FR,AT,-0.0
104,BE,GR,AT,-0.0
105,BE,HR,AT,-0.0
106,BE,IE,AT,-0.0
107,BE,LU,AT,-0.0
108,BE,NO,AT,-0.0
109,BE,RO,AT,-0.0
110,BE,AT,BG,1.0
111,BE,CZ,BG,-0.0
112,BE,DE,BG,0.0
113,BE,ES,BG,0.0
114,BE,FL,BG,-0.0
115,BE,GB,BG,-0.0
116,BE,HU,BG,-0.0
117,BE,LT,BG,0.0
118,BE,NL,BG,-0.0
119,BE,PL,BG,-0.0
120,BE,PT,BG,0.0
121,BE,SE,BG,-0.0
122,BE,SI,BG,0.0
123,BE,SK,BG,-0.0
124,BE,DK,BG,0.0
125,BE,FR,BG,0.0
126,BE,GR,BG,0.0
127,BE,HR,BG,0.0
128,BE,IE,BG,-0.0
129,BE,LU,BG,0.0
130,BE,NO,BG,0.0
131,BE,RO,BG,0.0
132,BE,AT,CZ,0.0
133,BE,BG,CZ,-0.0
134,BE,DE,CZ,1.0
135,BE,ES,CZ,-0.0
136,BE,FL,CZ,-0.0
137,BE,GB,CZ,0.0
138,BE,HU,CZ,0.0
139,BE,LT,CZ,-0.0
140,BE,NL,CZ,0.0
141,BE,PL,CZ,0.0
142,BE,PT,CZ,-0.0
143,BE,SE,CZ,0.0
144,BE,SI,CZ,0.0
145,BE,SK,CZ,0.0
146,BE,DK,CZ,0.0
147,BE,FR,CZ,-0.0
148,BE,GR,CZ,-0.0
149,BE,HR,CZ,-0.0
150,BE,IE,CZ,-0.0
151,BE,LU,CZ,-0.0
152,BE,NO,CZ,-0.0
153,BE,RO,CZ,-0.0
154,BE,AT,DE,0.0
155,BE,BG,DE,-0.0
156,BE,CZ,DE,-0.0
157,BE,ES,DE,-0.0
158,BE,FL,DE,-0.0
159,BE,GB,DE,-0.0
160,BE,HU,DE,-0.0
161,BE,LT,DE,-0.0
