,0,1,2,3
0,Hub Wien I-AT,Sofia-BG,2 Swap Bodies,0
1,Hub Wien I-AT,Sofia-BG,Swap Body,0
2,Hub Wien I-AT,Sofia-BG,Trailer,0
3,Hub Wien I-AT,Sofia-BG,Van,0
16284,Barcelona-ES,Helsingborg-SE,Co-loading,1
5,Hub Wien II-AT,Sofia-BG,2 Swap Bodies,0
6,Hub Wien II-AT,Sofia-BG,Swap Body,0
7,Hub Wien II-AT,Sofia-BG,Trailer,0
8,Hub Wien II-AT,Sofia-BG,Van,0
9,Hub Wien II-AT,Sofia-BG,Co-loading,0
10,Hub Graz-AT,Sofia-BG,2 Swap Bodies,0
11,Hub Graz-AT,Sofia-BG,Swap Body,0
12,Hub Graz-AT,Sofia-BG,Trailer,0
13,Hub Graz-AT,Sofia-BG,Van,0
14,Hub Graz-AT,Sofia-BG,Co-loading,0
15,Hagenbrunn-AT,Sofia-BG,2 Swap Bodies,0
16,Hagenbrunn-AT,Sofia-BG,Swap Body,0
17,Hagenbrunn-AT,Sofia-BG,Trailer,0
18,Hagenbrunn-AT,Sofia-BG,Van,0
19,Hagenbrunn-AT,Sofia-BG,Co-loading,0
20,Allhaming-AT,Sofia-BG,2 Swap Bodies,0
21,Allhaming-AT,Sofia-BG,Swap Body,0
22,Allhaming-AT,Sofia-BG,Trailer,0
23,Allhaming-AT,Sofia-BG,Van,0
24,Allhaming-AT,Sofia-BG,Co-loading,0
25,Enns-AT,Sofia-BG,2 Swap Bodies,0
26,Enns-AT,Sofia-BG,Swap Body,0
27,Enns-AT,Sofia-BG,Trailer,0
28,Enns-AT,Sofia-BG,Van,0
29,Enns-AT,Sofia-BG,Co-loading,0
30,Wernberg-AT,Sofia-BG,2 Swap Bodies,0
31,Wernberg-AT,Sofia-BG,Swap Body,0
32,Wernberg-AT,Sofia-BG,Trailer,0
33,Wernberg-AT,Sofia-BG,Van,0
34,Wernberg-AT,Sofia-BG,Co-loading,0
35,Wals-AT,Sofia-BG,2 Swap Bodies,0
36,Wals-AT,Sofia-BG,Swap Body,0
37,Wals-AT,Sofia-BG,Trailer,0
38,Wals-AT,Sofia-BG,Van,1
39,Wals-AT,Sofia-BG,Co-loading,0
40,Hall in Tirol-AT,Sofia-BG,2 Swap Bodies,0
41,Hall in Tirol-AT,Sofia-BG,Swap Body,0
42,Hall in Tirol-AT,Sofia-BG,Trailer,0
43,Hall in Tirol-AT,Sofia-BG,Van,0
44,Hall in Tirol-AT,Sofia-BG,Co-loading,0
45,Liesing-AT,Sofia-BG,2 Swap Bodies,0
46,Liesing-AT,Sofia-BG,Swap Body,0
47,Liesing-AT,Sofia-BG,Trailer,0
48,Liesing-AT,Sofia-BG,Van,0
49,Liesing-AT,Sofia-BG,Co-loading,0
50,Wundschuh-AT,Sofia-BG,2 Swap Bodies,0
51,Wundschuh-AT,Sofia-BG,Swap Body,0
52,Wundschuh-AT,Sofia-BG,Trailer,0
53,Wundschuh-AT,Sofia-BG,Van,0
54,Wundschuh-AT,Sofia-BG,Co-loading,0
55,Hub Wien I-AT,Kolding-DK,2 Swap Bodies,0
56,Hub Wien I-AT,Kolding-DK,Swap Body,0
57,Hub Wien I-AT,Kolding-DK,Trailer,0
58,Hub Wien I-AT,Kolding-DK,Van,0
59,Hub Wien I-AT,Kolding-DK,Co-loading,0
60,Hub Wien II-AT,Kolding-DK,2 Swap Bodies,0
61,Hub Wien II-AT,Kolding-DK,Swap Body,0
62,Hub Wien II-AT,Kolding-DK,Trailer,0
63,Hub Wien II-AT,Kolding-DK,Van,0
64,Hub Wien II-AT,Kolding-DK,Co-loading,0
65,Hub Graz-AT,Kolding-DK,2 Swap Bodies,0
66,Hub Graz-AT,Kolding-DK,Swap Body,0
67,Hub Graz-AT,Kolding-DK,Trailer,0
68,Hub Graz-AT,Kolding-DK,Van,0
69,Hub Graz-AT,Kolding-DK,Co-loading,0
70,Hagenbrunn-AT,Kolding-DK,2 Swap Bodies,0
71,Hagenbrunn-AT,Kolding-DK,Swap Body,0
72,Hagenbrunn-AT,Kolding-DK,Trailer,0
73,Hagenbrunn-AT,Kolding-DK,Van,0
74,Hagenbrunn-AT,Kolding-DK,Co-loading,0
75,Allhaming-AT,Kolding-DK,2 Swap Bodies,0
76,Allhaming-AT,Kolding-DK,Swap Body,0
77,Allhaming-AT,Kolding-DK,Trailer,0
78,Allhaming-AT,Kolding-DK,Van,0
79,Allhaming-AT,Kolding-DK,Co-loading,0
80,Enns-AT,Kolding-DK,2 Swap Bodies,0
81,Enns-AT,Kolding-DK,Swap Body,0
82,Enns-AT,Kolding-DK,Trailer,0
83,Enns-AT,Kolding-DK,Van,0
84,Enns-AT,Kolding-DK,Co-loading,0
85,Wernberg-AT,Kolding-DK,2 Swap Bodies,0
86,Wernberg-AT,Kolding-DK,Swap Body,0
87,Wernberg-AT,Kolding-DK,Trailer,0
88,Wernberg-AT,Kolding-DK,Van,0
89,Wernberg-AT,Kolding-DK,Co-loading,0
90,Wals-AT,Kolding-DK,2 Swap Bodies,0
91,Wals-AT,Kolding-DK,Swap Body,0
92,Wals-AT,Kolding-DK,Trailer,0
93,Wals-AT,Kolding-DK,Van,0
94,Wals-AT,Kolding-DK,Co-loading,0
95,Hall in Tirol-AT,Kolding-DK,2 Swap Bodies,0
96,Hall in Tirol-AT,Kolding-DK,Swap Body,0
97,Hall in Tirol-AT,Kolding-DK,Trailer,0
98,Hall in Tirol-AT,Kolding-DK,Van,0
99,Hall in Tirol-AT,Kolding-DK,Co-loading,0
100,Liesing-AT,Kolding-DK,2 Swap Bodies,0
101,Liesing-AT,Kolding-DK,Swap Body,0
102,Liesing-AT,Kolding-DK,Trailer,0
103,Liesing-AT,Kolding-DK,Van,0
104,Liesing-AT,Kolding-DK,Co-loading,0
