,0,1,2
0,Hub Wien I-AT,Brno-CZ,-0.0
1,Hub Wien I-AT,Ostrava-CZ,-0.0
2,Hub Wien I-AT,Krupka 1-CZ,-0.0
3,Hub Wien I-AT,Plzen 1-CZ,-0.0
4,Hub Wien I-AT,Hradec Kralove - Brezhrad-CZ,-0.0
5,Hub Wien I-AT,Ricany -CZ,-0.0
6,Hub Wien I-AT,Zlin-CZ,-0.0
7,Hub Wien I-AT,Olomouc-CZ,-0.0
8,Hub Wien II-AT,Brno-CZ,-0.0
9,Hub Wien II-AT,Ostrava-CZ,-0.0
10,Hub Wien II-AT,Krupka 1-CZ,-0.0
11,Hub Wien II-AT,Plzen 1-CZ,-0.0
12,Hub Wien II-AT,Hradec Kralove - Brezhrad-CZ,-0.0
13,Hub Wien II-AT,Ricany -CZ,-0.0
14,Hub Wien II-AT,Zlin-CZ,-0.0
15,Hub Wien II-AT,Olomouc-CZ,-0.0
16,Hub Graz-AT,Brno-CZ,-0.0
17,Hub Graz-AT,Ostrava-CZ,-0.0
18,Hub Graz-AT,Krupka 1-CZ,-0.0
19,Hub Graz-AT,Plzen 1-CZ,-0.0
20,Hub Graz-AT,Hradec Kralove - Brezhrad-CZ,-0.0
21,Hub Graz-AT,Ricany -CZ,-0.0
22,Hub Graz-AT,Zlin-CZ,-0.0
23,Hub Graz-AT,Olomouc-CZ,-0.0
24,Hagenbrunn-AT,Brno-CZ,1.0
25,Hagenbrunn-AT,Ostrava-CZ,-0.0
26,Hagenbrunn-AT,Krupka 1-CZ,-0.0
27,Hagenbrunn-AT,Plzen 1-CZ,-0.0
28,Hagenbrunn-AT,Hradec Kralove - Brezhrad-CZ,-0.0
29,Hagenbrunn-AT,Ricany -CZ,-0.0
30,Hagenbrunn-AT,Zlin-CZ,-0.0
31,Hagenbrunn-AT,Olomouc-CZ,-0.0
32,Allhaming-AT,Brno-CZ,-0.0
33,Allhaming-AT,Ostrava-CZ,-0.0
34,Allhaming-AT,Krupka 1-CZ,-0.0
35,Allhaming-AT,Plzen 1-CZ,-0.0
36,Allhaming-AT,Hradec Kralove - Brezhrad-CZ,-0.0
37,Allhaming-AT,Ricany -CZ,-0.0
38,Allhaming-AT,Zlin-CZ,-0.0
39,Allhaming-AT,Olomouc-CZ,-0.0
40,Enns-AT,Brno-CZ,-0.0
41,Enns-AT,Ostrava-CZ,-0.0
42,Enns-AT,Krupka 1-CZ,-0.0
43,Enns-AT,Plzen 1-CZ,-0.0
44,Enns-AT,Hradec Kralove - Brezhrad-CZ,-0.0
45,Enns-AT,Ricany -CZ,-0.0
46,Enns-AT,Zlin-CZ,-0.0
47,Enns-AT,Olomouc-CZ,-0.0
48,Wernberg-AT,Brno-CZ,-0.0
49,Wernberg-AT,Ostrava-CZ,-0.0
50,Wernberg-AT,Krupka 1-CZ,-0.0
51,Wernberg-AT,Plzen 1-CZ,-0.0
52,Wernberg-AT,Hradec Kralove - Brezhrad-CZ,-0.0
53,Wernberg-AT,Ricany -CZ,-0.0
54,Wernberg-AT,Zlin-CZ,-0.0
55,Wernberg-AT,Olomouc-CZ,-0.0
56,Wals-AT,Brno-CZ,-0.0
57,Wals-AT,Ostrava-CZ,-0.0
58,Wals-AT,Krupka 1-CZ,-0.0
59,Wals-AT,Plzen 1-CZ,-0.0
60,Wals-AT,Hradec Kralove - Brezhrad-CZ,-0.0
61,Wals-AT,Ricany -CZ,-0.0
62,Wals-AT,Zlin-CZ,-0.0
63,Wals-AT,Olomouc-CZ,-0.0
64,Hall in Tirol-AT,Brno-CZ,-0.0
65,Hall in Tirol-AT,Ostrava-CZ,-0.0
66,Hall in Tirol-AT,Krupka 1-CZ,-0.0
67,Hall in Tirol-AT,Plzen 1-CZ,-0.0
68,Hall in Tirol-AT,Hradec Kralove - Brezhrad-CZ,-0.0
69,Hall in Tirol-AT,Ricany -CZ,-0.0
70,Hall in Tirol-AT,Zlin-CZ,-0.0
71,Hall in Tirol-AT,Olomouc-CZ,-0.0
72,Liesing-AT,Brno-CZ,-0.0
73,Liesing-AT,Ostrava-CZ,-0.0
74,Liesing-AT,Krupka 1-CZ,-0.0
75,Liesing-AT,Plzen 1-CZ,-0.0
76,Liesing-AT,Hradec Kralove - Brezhrad-CZ,-0.0
77,Liesing-AT,Ricany -CZ,-0.0
78,Liesing-AT,Zlin-CZ,-0.0
79,Liesing-AT,Olomouc-CZ,-0.0
80,Wundschuh-AT,Brno-CZ,-0.0
81,Wundschuh-AT,Ostrava-CZ,-0.0
82,Wundschuh-AT,Krupka 1-CZ,-0.0
83,Wundschuh-AT,Plzen 1-CZ,-0.0
84,Wundschuh-AT,Hradec Kralove - Brezhrad-CZ,-0.0
85,Wundschuh-AT,Ricany -CZ,-0.0
86,Wundschuh-AT,Zlin-CZ,-0.0
87,Wundschuh-AT,Olomouc-CZ,-0.0
88,Hub Wien I-AT,PZ 67 (Speyer)-DE,-0.0
89,Hub Wien I-AT,PZ 50 (Köln)-DE,-0.0
90,Hub Wien I-AT,PZ 04 (Radefeld/Leipzig)-DE,-0.0
91,Hub Wien I-AT,PZ 90 (Feucht/Nürnberg)-DE,-0.0
92,Hub Wien I-AT,PZ 77 (Lahr)-DE,-0.0
93,Hub Wien I-AT,PZ 93 (Regensburg)-DE,-0.0
94,Hub Wien I-AT,PZ 21 (Hamburg)-DE,-0.0
95,Hub Wien I-AT,PZ 46 (Dorsten)-DE,-0.0
96,Hub Wien I-AT,PZ 58 (Hagen)-DE,-0.0
97,Hub Wien I-AT,PZ 08 (Neumark)-DE,-0.0
98,Hub Wien I-AT,PZ 47 (Krefeld)-DE,-0.0
