,Ori_Hub,Dest_Hub,Time
0,Araba (Vitoria)-ES,Brüssel-BE,6.0
1,Araba (Vitoria)-ES,Eindhoven-Noord-NL,6.0
2,Araba (Vitoria)-ES,Lisboa-PT,24.0
3,Araba (Vitoria)-ES,Slough-GB,6.0
4,Barcelona-ES,Helsingborg-SE,8.880000000000003
5,Barcelona-ES,Hub Wien I-AT,6.0
6,Barcelona-ES,PZ 77 (Lahr)-DE,6.949999999999999
7,Bettembourg-LU,Ljubljana-SI,24.0
8,Brno-CZ,Budapest OLK-HU,6.0
9,Brno-CZ,Hagenbrunn-AT,6.0
10,Brno-CZ,Ivanka pri Dunaji-SK,6.0
11,Brüssel-BE,Araba (Vitoria)-ES,6.0
12,Brüssel-BE,Combs la ville-FR,6.0
13,Brüssel-BE,Eindhoven-Noord-NL,6.0
14,Brüssel-BE,Kolding-DK,24.0
15,Brüssel-BE,PZ 47 (Krefeld)-DE,6.0
16,Brüssel-BE,PZ 67 (Speyer)-DE,6.0
17,Brüssel-BE,PZ 77 (Lahr)-DE,6.0
18,Brüssel-BE,PZ 93 (Regensburg)-DE,24.0
19,Brüssel-BE,Poznań-PL,24.0
20,Brüssel-BE,Slough-GB,6.0
21,Brüssel-BE,Wals-AT,24.0
22,Budapest OLK-HU,Brno-CZ,6.0
23,Budapest OLK-HU,Hub Wien I-AT,6.0
24,Budapest OLK-HU,Ivanka pri Dunaji-SK,6.0
25,Budapest OLK-HU,PZ 90 (Feucht/Nürnberg)-DE,24.0
26,Budapest OLK-HU,PZ 93 (Regensburg)-DE,24.0
27,Budapest OLK-HU,Wrocław-PL,24.0
28,Eindhoven-Noord-NL,Araba (Vitoria)-ES,6.0
29,Eindhoven-Noord-NL,Bettembourg-LU,6.0
30,Eindhoven-Noord-NL,Brüssel-BE,6.0
31,Eindhoven-Noord-NL,Budapest OLK-HU,6.0
32,Eindhoven-Noord-NL,Combs la ville-FR,6.0
33,Eindhoven-Noord-NL,Dublin-IE,6.0
34,Eindhoven-Noord-NL,Ivanka pri Dunaji-SK,7.02
35,Eindhoven-Noord-NL,Kaunas-LT,6.0
36,Eindhoven-Noord-NL,Kolding-DK,6.0
37,Eindhoven-Noord-NL,Krupka 1-CZ,24.0
38,Eindhoven-Noord-NL,Lieto (Turku)-FL,6.0
39,Eindhoven-Noord-NL,Lisboa-PT,9.253333333333337
40,Eindhoven-Noord-NL,Ljubljana-SI,7.06666666666667
41,Eindhoven-Noord-NL,PZ 47 (Krefeld)-DE,6.0
42,Eindhoven-Noord-NL,Slough-GB,24.0
43,Eindhoven-Noord-NL,Spata-GR,6.0
44,Eindhoven-Noord-NL,Wals-AT,24.0
45,Göteborg-SE,Oslo-NO,24.0
46,Hagenbrunn-AT,Brno-CZ,6.0
47,Hagenbrunn-AT,Zabrze-PL,6.0
48,Helsingborg-SE,Barcelona-ES,8.85666666666667
49,Helsingborg-SE,Brno-CZ,6.0
50,Helsingborg-SE,Poznań-PL,24.0
51,Hub Wien I-AT,Brno-CZ,6.0
52,Hub Wien I-AT,Budapest OLK-HU,6.0
53,Hub Wien I-AT,Ivanka pri Dunaji-SK,6.0
54,Hub Wien I-AT,Ljubljana-SI,6.0
55,Hub Wien I-AT,Oradea-RO,24.0
56,Hub Wien I-AT,PZ 90 (Feucht/Nürnberg)-DE,6.0
57,Hub Wien I-AT,Sofia-BG,6.903333333333336
58,Hub Wien I-AT,Zagreb-HR,6.0
59,Ivanka pri Dunaji-SK,Brno-CZ,6.0
60,Kaunas-LT,Lieto (Turku)-FL,6.0
61,Kolding-DK,Malmö-SE,6.0
62,Krupka 1-CZ,Eindhoven-Noord-NL,24.0
63,Krupka 1-CZ,PZ 04 (Radefeld/Leipzig)-DE,6.0
64,Krupka 1-CZ,PZ 15 (Rüdersdorf)-DE,6.0
65,Lieto (Turku)-FL,Brüssel-BE,6.0
66,Lieto (Turku)-FL,Eindhoven-Noord-NL,6.0
67,Lieto (Turku)-FL,Helsingborg-SE,6.0
68,Lieto (Turku)-FL,Kolding-DK,6.0
69,Lieto (Turku)-FL,PZ 21 (Hamburg)-DE,10.88666666666667
70,Lieto (Turku)-FL,Stockholm - Västberga-SE,8.04666666666667
71,Lisboa-PT,Eindhoven-Noord-NL,9.229999999999997
72,Lisboa-PT,PZ 50 (Köln)-DE,8.810000000000002
73,Lisboa-PT,PZ 77 (Lahr)-DE,9.836666666666673
74,Lisboa-PT,PZ 90 (Feucht/Nürnberg)-DE,6.289999999999999
75,Lisboa-PT,Slough-GB,7.060000000000002
76,Ljubljana-SI,PZ 90 (Feucht/Nürnberg)-DE,6.0
77,Ljubljana-SI,Wernberg-AT,6.0
78,Malmö-SE,Eindhoven-Noord-NL,24.0
79,Malmö-SE,Kolding-DK,6.0
80,Malmö-SE,Krupka 1-CZ,24.0
81,Malmö-SE,PZ 21 (Hamburg)-DE,6.0
82,Malmö-SE,Slough-GB,6.0
83,Malmö-SE,Wals-AT,6.0
84,Ostrava-CZ,Zabrze-PL,6.0
85,PZ 04 (Radefeld/Leipzig)-DE,Krupka 1-CZ,6.0
86,PZ 15 (Rüdersdorf)-DE,Malmö-SE,24.0
87,PZ 15 (Rüdersdorf)-DE,Poznań-PL,6.0
88,PZ 21 (Hamburg)-DE,Kolding-DK,6.0
89,PZ 21 (Hamburg)-DE,Oslo-NO,7.440000000000001
90,PZ 24 (Neumünster)-DE,Malmö-SE,6.0
91,PZ 47 (Krefeld)-DE,Brüssel-BE,6.0
92,PZ 47 (Krefeld)-DE,Eindhoven-Noord-NL,6.0
93,PZ 47 (Krefeld)-DE,Slough-GB,24.0
94,PZ 50 (Köln)-DE,Bettembourg-LU,6.0
95,PZ 50 (Köln)-DE,Combs la ville-FR,6.0
96,PZ 50 (Köln)-DE,Helsingborg-SE,24.0
97,PZ 50 (Köln)-DE,Lisboa-PT,8.810000000000002
98,PZ 67 (Speyer)-DE,Plzen 1-CZ,6.0
99,PZ 77 (Lahr)-DE,Barcelona-ES,6.973333333333336
100,PZ 90 (Feucht/Nürnberg)-DE,Brüssel-BE,6.0
101,PZ 90 (Feucht/Nürnberg)-DE,Budapest OLK-HU,24.0
102,PZ 90 (Feucht/Nürnberg)-DE,Eindhoven-Noord-NL,6.0
103,PZ 90 (Feucht/Nürnberg)-DE,Hub Wien I-AT,6.0
104,PZ 90 (Feucht/Nürnberg)-DE,Oradea-RO,7.02
105,PZ 90 (Feucht/Nürnberg)-DE,Poznań-PL,6.0
106,PZ 90 (Feucht/Nürnberg)-DE,Sofia-BG,6.0
107,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR,6.0
108,PZ 93 (Regensburg)-DE,Budapest OLK-HU,24.0
109,PZ 93 (Regensburg)-DE,Ivanka pri Dunaji-SK,6.0
110,PZ 93 (Regensburg)-DE,Ljubljana-SI,6.0
111,PZ 93 (Regensburg)-DE,Sofia-BG,6.0
112,PZ 93 (Regensburg)-DE,Wals-AT,6.0
113,Plzen 1-CZ,Barcelona-ES,6.0
114,Poznań-PL,Brüssel-BE,24.0
115,Poznań-PL,Dublin-IE,8.04
116,Poznań-PL,Eindhoven-Noord-NL,24.0
117,Poznań-PL,Kaunas-LT,24.0
118,Poznań-PL,Kolding-DK,6.0
119,Poznań-PL,Malmö-SE,24.0
120,Poznań-PL,PZ 15 (Rüdersdorf)-DE,6.0
121,Poznań-PL,Slough-GB,6.0
122,Slough-GB,Araba (Vitoria)-ES,6.0
123,Slough-GB,Bettembourg-LU,6.0
124,Slough-GB,Brüssel-BE,6.0
125,Slough-GB,Budapest OLK-HU,6.0
126,Slough-GB,Combs la ville-FR,24.0
127,Slough-GB,Dublin-IE,24.0
128,Slough-GB,Eindhoven-Noord-NL,24.0
129,Slough-GB,Ivanka pri Dunaji-SK,6.0
130,Slough-GB,PZ 47 (Krefeld)-DE,24.0
131,Slough-GB,Wals-AT,6.0
132,Sofia-BG,Budapest OLK-HU,24.0
133,Sofia-BG,Hub Wien I-AT,6.926666666666669
134,Sofia-BG,Kaunas-LT,7.993333333333332
135,Sofia-BG,Wrocław-PL,6.0
136,Stockholm - Västberga-SE,Lieto (Turku)-FL,8.093333333333334
137,Suwałki (Ełk)-PL,Kaunas-LT,6.0
138,Suwałki (Ełk)-PL,Ostrava-CZ,6.0
139,Suwałki (Ełk)-PL,Vantaa (Helsinki)-FL,6.0
140,Vantaa (Helsinki)-FL,Hub Wien I-AT,6.0
141,Vantaa (Helsinki)-FL,Suwałki (Ełk)-PL,6.0
142,Wals-AT,Oradea-RO,18.21666666666667
143,Wals-AT,PZ 93 (Regensburg)-DE,6.0
144,Wals-AT,Sofia-BG,6.0
145,Wals-AT,Zagreb-HR,6.0
146,Wrocław-PL,Barcelona-ES,24.0
147,Wrocław-PL,Bettembourg-LU,24.0
148,Wrocław-PL,Lisboa-PT,24.0
149,Zabrze-PL,Budapest OLK-HU,6.0
150,Zabrze-PL,Hagenbrunn-AT,6.0
151,Zabrze-PL,Ljubljana-SI,24.0
152,Zabrze-PL,Oradea-RO,18.076666666666664
153,Zabrze-PL,Ostrava-CZ,6.0
154,Zabrze-PL,Sofia-BG,6.0
155,Zabrze-PL,Zagreb-HR,24.0
156,Zabrze-PL,Zilina- Strecno-SK,6.0
157,Zaltbommel-NL,Malmö-SE,24.0
158,Zaltbommel-NL,Poznań-PL,18.310000000000002
