Country,City,Ref_City
AT,Wien 1,Hub Wien I
AT,Wien 2,Hub Wien II
AT,Hub Linz,Hub Linz
AT,Hub Graz,Hub Graz
AT,Meiningen,Meiningen
AT,Wels,Wels
AT,Herzogenburg ,Herzogenburg 
AT,Siggerwiesen,Siggerwiesen
AT,Wien Percostraße,Wien Percostraße
AT,Klagenfurt,Klagenfurt
AT,St. Michael ,St. Michael 
AT,St Florian,St Florian
AT,Peggau,Peggau
AT,Althofen,Althofen
AT,St Andrä,St Andrä
AT,Enzersdorf an der Fischa,Enzersdorf an der Fischa
AT,Wolkersdorf,Wolkersdorf
AT,Jenbach,Jenbach
AT,Bad Fischau,Bad Fischau
AT,Hallein,Hallein
AT,Mötz,Mötz
AT,Spittal an der Drau ,Spittal an der Drau 
AT,Ried im Innkreis,Ried im Innkreis
AT,Oberwart,Oberwart
AT,Linz,Linz
AT,Zwettl,Zwettl
AT,Ottensheim,Ottensheim
AT,Gablitz,Gablitz
AT,Hagenbrunn,Hagenbrunn
AT,Allhaming,Allhaming
AT,Enns,Enns
AT,Wernberg,Wernberg
AT,Wals,Wals-Siezenheim
AT,Hall,Hall in Tirol
AT,Kalsdorf,Kalsdorf bei Graz
AT,Liesing,Liesing
AT,Wundschuh,Wundschuh
BE,Brüssel,Brüssel
BE,BE,Ternat
BE,BE,Antwerpen
BE,BE,Awans
BE,BE,Opglabbeek
BE,BE,Wevelgem
BG,Sofia,Sofia
CZ,Brno,Brno
CZ,Ostrava,Ostrava
CZ,Krupka,Krupka 1
CZ,Plzen,Plzen 1
CZ,Hradec Kralove - Brezhrad,Hradec Kralove - Brezhrad
CZ,Ricany - Jazlovice,Ricany - Jazlovice
CZ,Ceske Budejovice,Ceske Budejovice
CZ,Pilsen,Pilsen
CZ,Teplice,Teplice
CZ,Hradec Kralove,Hradec Kralove
CZ,Zlin,Zlin
CZ,Olomouc,Olomouc
CZ,Praha - Reporyje,Praha - Reporyje
CZ,Liberec,Liberec
CZ,Humpolec,Humpolec
CZ,Karlovy Vary,Karlovy Vary
CZ,Praha - Malesice,Praha - Malesice
CZ,Pecky,Pecky
CZ,Ricany - Jazlovice (Pallet),Ricany - Jazlovice (Pallet)
CZ,Ceske Budejovice (Pallet),Ceske Budejovice (Pallet)
CZ,Brno (Pallet),Brno (Pallet)
CZ,Liberec (Pallet),Liberec (Pallet)
CZ,Pribram,Pribram
