Green List,,My List,,
Country,City,Country,City,
AT,Wien 1,AT,Hub Wien I,
AT,Wien 2,AT,Hub Wien II,
AT,Hub Linz,AT,Hub Linz,
AT,Hub Graz,AT,Hub Graz,
AT,Meiningen,AT,Meiningen,
AT,Wels,AT,Wels,
AT,Herzogenburg ,AT,Herzogenburg ,
AT,Siggerwiesen,AT,Siggerwiesen,
AT,Wien Percostraße,AT,Wien Percostraße,
AT,Klagenfurt,AT,Klagenfurt,
AT,St. Michael ,AT,St. Michael ,
AT,St Florian,AT,St Florian,
AT,Peggau,AT,Peggau,
AT,Althofen,AT,Althofen,
AT,St Andrä,AT,St Andrä,
AT,Enzersdorf an der Fischa,AT,Enzersdorf an der Fischa,
AT,Wolkersdorf,AT,Wolkersdorf,
AT,Jenbach,AT,Jenbach,
AT,Bad Fischau,AT,Bad Fischau,
AT,Hallein,AT,Hallein,
AT,Mötz,AT,Mötz,
AT,Spittal an der Drau ,AT,Spittal an der Drau ,
AT,Ried im Innkreis,AT,Ried im Innkreis,
AT,Oberwart,AT,Oberwart,
AT,Linz,AT,Linz,
AT,Zwettl,AT,Zwettl,
AT,Ottensheim,AT,Ottensheim,
AT,Gablitz,AT,Gablitz,
AT,Hagenbrunn,AT,Hagenbrunn,
AT,Allhaming,AT,Allhaming,
AT,Enns,AT,Enns,
AT,Wernberg,AT,Wernberg,
AT,Wals-Siezenheim,AT,Wals-Siezenheim,
AT,Hall in Tirol,AT,Hall in Tirol,
AT,Kalsdorf bei Graz,AT,Kalsdorf bei Graz,
AT,Liesing,AT,Liesing,
AT,Wundschuh,AT,Wundschuh,
BE,Brüssel,BE,Brüssel,
BE,BE,BE,Ternat,
BE,BE,BE,Antwerpen,
BE,BE,BE,Awans,
BE,BE,BE,Opglabbeek,
BE,BE,BE,Wevelgem,
BG,Sofia,BG,Sofia,
CZ,Brno,CZ,Brno,
CZ,Ostrava,CZ,Ostrava,
CZ,Krupka,CZ,Krupka 1,
CZ,Plzen,CZ,Plzen 1,
CZ,Hradec Kralove,CZ,Hradec Kralove - Brezhrad,
CZ,Ricany - Jazlovice,CZ,Ricany - Jazlovice,
CZ,Ceske Budejovice,CZ,Ceske Budejovice,
CZ,Pilsen,CZ,Pilsen,
CZ,Teplice,CZ,Teplice,
CZ,Hradec Kralove,CZ,Hradec Kralove,
CZ,Zlin,CZ,Zlin,
CZ,Olomouc,CZ,Olomouc,
CZ,Praha - Reporyje,CZ,Praha - Reporyje,
CZ,Liberec,CZ,Liberec,
CZ,Humpolec,CZ,Humpolec,
CZ,Karlovy Vary,CZ,Karlovy Vary,
CZ,Praha - Malesice,CZ,Praha - Malesice,
CZ,Pecky,CZ,Pecky,
CZ,Ricany - Jazlovice (Pallet),CZ,Ricany - Jazlovice (Pallet),
CZ,Ceske Budejovice (Pallet),CZ,Ceske Budejovice (Pallet),
