,Source,Ori. ,Dest.,Connect movement,PC Mov. Id,Start Date,End Date,Status,Products Loaded,Mode of loading,Original mov. Id,Org. GTW,Via Stop 1,Via Stop 2,Dst. GTW,"Cut-Off-Time 
(Sorting + Loading)",Offset,STD,Offset.1,STA,Mo,Tu,We,Th,Fr,Sa,Su,Truck type,Capacity in LDM,Average Capacity Usage in %,Travel Time,Travel time,Distance in km,Contract with,Costs,Cost beared by,Operator,Costs per km,Remarks,DE,cost per hour,cost per km
0,eCS Core,CZ,SK,Y,PCCZ01SK01A,2018-01-01 00:00:00,2999-12-31 00:00:00,Scheduled,,,,Brno,,,Bratislava Petržalka,,,1900-01-03 14:00:00,0.0,1900-01-03 16:00:00,X,X,X,X,X,,,,,,2,2.0,99999,,0,,,,PCSK03HU02A,0,0.0,0.0
1,eCS Core,CZ,SK,Y,PCCZ03SK02A,2018-01-01 00:00:00,2999-12-31 00:00:00,Scheduled,,,,Ostrava,,,Strečno,,,1900-01-03 20:00:00,0.0,1900-01-03 23:00:00,X,X,X,X,X,,,cargo,7,,3,3.0,120,,0,PPL CZ,Group Staving / PPL,,,0,0.0,0.0
2,eCS Core,CZ,PL,Y,PCCZ03PL07A,2018-01-01 00:00:00,2999-12-31 00:00:00,Scheduled,,,,Ostrava,,,Zabrze,,,1900-01-03 13:00:00,0.0,1900-01-03 15:00:00,X,X,X,X,X,,,Trailer,13.6,,1.5,2.0,82,,0,PPL CZ,ADN Trans / PPL,,,0,0.0,0.0
3,eCS Core,CZ,DE,Y,PCCZ02DE04A,2018-01-01 00:00:00,2999-12-31 00:00:00,Scheduled,,,,Krupka,,,Radefeld,,,1900-01-03 04:00:00,0.0,1900-01-03 07:00:00,X,X,X,X,X,,,2 swap bodies,14,,3,3.0,180,,0,DHL DE,PE-MI Trans / PPL,,,1,0.0,0.0
4,eCS Core,CZ,DE,Y,PCCZ04DE90A,2018-01-01 00:00:00,2999-12-31 00:00:00,Scheduled,Europack; Connect,,,Plzen,,,Feucht,,,1900-01-03 11:00:00,0.0,1900-01-03 14:00:00,X,X,X,X,X,,,2 swap bodies,14,,3,3.0,190,DPAG/PPL 2009,0,PPL CZ,CM Transport / PPL,,,1,0.0,0.0
5,eCS Core,DE,ES,Y,PCDE67SB00A,2018-01-01 00:00:00,2999-12-31 00:00:00,Stand-by,Europack,,DDSB76B,Speyer,,,Barcelona,1900-01-03 21:00:00,-1.0,1900-01-03 06:00:00,0.0,1900-01-03 10:00:00,,X,X,X,X,X,,Trailer,13.6,,0,4.0,99999,NETWORK EUROPE,0,Deutsche Post 18A2 - Europack,INTER-COX,,,1,0.0,0.0
6,eCS Core,DE,ES,Y,PCDE67ES01A,2018-01-01 00:00:00,2999-12-31 00:00:00,Scheduled,Europack,,DD7604A,Speyer,,,Barcelona,1900-01-03 20:30:00,-1.0,1900-01-03 04:00:00,0.0,1900-01-03 20:00:00,,X,X,X,X,,,Trailer,13.6,,16,16.0,1233,NETWORK EUROPE,1218.98,Deutsche Post 18A2 - Europack,TRANSAT,0.988629359286294,,1,76.18625,0.9886293592862940
7,eCS Core,DE,ES,Y,PCDE67ES01A,2018-01-01 00:00:00,2999-12-31 00:00:00,Scheduled,Europack,,DD7604A,Speyer,,,Barcelona,1900-01-03 20:30:00,-1.0,1900-01-03 08:00:00,2.0,1900-01-03 09:00:00,,,,,,X,,Trailer,13.6,,49,49.0,1233,NETWORK EUROPE,1218.98,Deutsche Post 18A2 - Europack,TRANSAT,0.988629359286294,,1,24.877142857142900,0.9886293592862940
8,eCS Core,DE,ES,Y,PCDE67ES02A,2018-01-01 00:00:00,2999-12-31 00:00:00,Scheduled,Europack,,DD7651B,Speyer,,,Madrid,1900-01-03 22:00:00,-1.0,1900-01-03 07:30:00,3.0,1900-01-03 08:00:00,,,,,X,,,Trailer,13.6,,72.5,72.5,1816,NETWORK EUROPE,1800,Deutsche Post 18A2 - Europack,DHL-MAD,0.991189427312775,,1,24.82758620689660,0.9911894273127750
9,eCS Core,DE,ES,Y,PCDE67ES02A,2018-01-01 00:00:00,2999-12-31 00:00:00,Scheduled,Europack,,DD7651B,Speyer,,,Madrid,1900-01-03 22:00:00,-1.0,1900-01-03 07:30:00,2.0,1900-01-03 09:00:00,,,,,,X,,Trailer,13.6,,49.5,49.5,1816,NETWORK EUROPE,1770,Deutsche Post 18A2 - Europack,DHL-MAD,0.974669603524229,,1,35.75757575757580,0.974669603524229
10,eCS Core,DE,ES,Y,PCDE67ES02B,2018-01-01 00:00:00,2999-12-31 00:00:00,Scheduled,Europack,,DD7687B,Speyer,,,Madrid,1900-01-03 22:00:00,-1.0,1900-01-03 08:00:00,1.0,1900-01-03 08:00:00,,X,X,X,,,,Trailer,13.6,,24,24.0,1816,NETWORK EUROPE,1864.72,Deutsche Post 18A2 - Europack,DHL-MAD,1.0268281938326,,1,77.69666666666670,1.0268281938326000
11,eCS Core,DE,ES,Y,PCDE67ES03A,2018-01-01 00:00:00,2999-12-31 00:00:00,Scheduled,Europack,,DD7687C,Speyer,,,Vitoria,1900-01-03 22:00:00,-1.0,1900-01-03 07:30:00,2.0,1900-01-03 15:00:00,,,,,,X,,Trailer,13.6,,55.5,55.5,1452,NETWORK EUROPE,1598,Deutsche Post 18A2 - Europack,DHL-MAD,1.10055096418733,,1,28.792792792792800,1.100550964187330
