,Origin Country,Destination Country,From,To,Distance,Duration,est_tt
0,AT,AT,Wien 1-AT,Wien 1-AT,0.0,0.0,1.4
1,AT,AT,Wien 1-AT,Wien-AT,198.409,1.8833333333333333,4.036666666666666
2,AT,BE,Wien 1-AT,Brüssel-BE,1122.724,9.45,14.629999999999999
3,AT,BG,Wien 1-AT,Sofia-BG,951.814,9.333333333333334,14.466666666666667
4,AT,CZ,Wien 1-AT,Brno-CZ,341.843,3.45,6.23
5,AT,CZ,Wien 1-AT,Ostrava-CZ,496.848,4.85,8.19
6,AT,CZ,Wien 1-AT,Krupka-CZ,579.525,6.25,10.15
7,AT,CZ,Wien 1-AT,Plzen-CZ,492.741,5.183333333333334,8.656666666666666
8,AT,CZ,Wien 1-AT,Hradec Kralove-CZ,484.068,5.566666666666666,9.193333333333332
9,AT,DE,Wien 1-AT,Speyer-DE,735.792,6.449999999999999,10.429999999999998
10,AT,DE,Wien 1-AT,Köln-DE,915.749,7.700000000000001,12.180000000000001
11,AT,DE,Wien 1-AT,Radefeld-DE,749.381,6.416666666666666,10.383333333333333
12,AT,DE,Wien 1-AT,Feucht-DE,504.502,4.433333333333334,7.606666666666667
13,AT,DE,Wien 1-AT,Lahr-DE,785.385,7.0,11.2
14,AT,DE,Wien 1-AT,Regensburg-DE,407.359,3.6499999999999995,6.509999999999998
15,AT,DE,Wien 1-AT,Hamburg-DE,1111.942,9.266666666666667,14.373333333333335
16,AT,DE,Wien 1-AT,Dorsten-DE,993.646,8.316666666666666,13.043333333333333
17,AT,DE,Wien 1-AT,Hagen-DE,928.801,7.800000000000001,12.32
18,AT,DE,Wien 1-AT,Neuwied-DE,641.489,5.666666666666667,9.333333333333334
19,AT,DE,Wien 1-AT,Krefeld-DE,978.892,8.166666666666666,12.833333333333332
20,AT,DE,Wien 1-AT,Rüdersdorf-DE,942.471,7.966666666666667,12.553333333333333
21,AT,DK,Wien 1-AT,Kolding-DK,1304.816,12.766666666666666,30.27333333333333
22,AT,ES,Wien 1-AT,Barcelona-ES,1622.161,14.599999999999998,32.839999999999996
23,AT,ES,Wien 1-AT,Madrid-ES,2235.059,20.0,51.4
24,AT,ES,Wien 1-AT,Vitoria-ES,1981.805,17.783333333333335,37.29666666666667
25,AT,FI,Wien 1-AT,Turku (Lieto)-FI,2142.775,25.983333333333334,59.776666666666664
26,AT,FI,Wien 1-AT,Vantaa-FI,1996.494,24.800000000000004,58.120000000000005
27,AT,FR,Wien 1-AT,Combs-la-Ville-FR,1256.149,10.816666666666666,27.54333333333333
28,AT,GB,Wien 1-AT,Slough-GB,1529.653,14.116666666666667,32.163333333333334
29,AT,GB,Wien 1-AT,Ryton Gateway-GB,1930.063,17.733333333333334,37.22666666666667
30,AT,GR,Wien 1-AT,Spata-GR,1662.757,15.416666666666664,33.98333333333333
31,AT,HR,Wien 1-AT,Zagreb-HR,166.909,1.7666666666666666,3.873333333333333
32,AT,HU,Wien 1-AT,OLK-HU,342.722,3.4333333333333336,6.206666666666667
33,AT,HU,Wien 1-AT,Budapest-HU,406.962,3.7333333333333334,6.626666666666667
34,AT,IE,Wien 1-AT,Portlaoise-IE,2111.942,22.866666666666667,55.413333333333334
35,AT,LT,Wien 1-AT,Kaunas-LT,1329.919,13.383333333333333,31.136666666666663
36,AT,LU,Wien 1-AT,Bettembourg-LU,942.478,8.033333333333333,12.646666666666667
37,AT,NL,Wien 1-AT,EINDHOVEN-NL,1077.588,9.033333333333333,14.046666666666667
38,AT,NL,Wien 1-AT,Utrecht-NL,1126.142,9.45,14.629999999999999
39,AT,NL,Wien 1-AT,Zaltbommel-NL,1116.725,9.416666666666666,14.583333333333332
40,AT,NO,Wien 1-AT,Oslo-NO,1909.441,18.4,38.16
41,AT,PL,Wien 1-AT,Ełk-PL,1123.094,11.333333333333334,28.266666666666666
42,AT,PL,Wien 1-AT,Poznań-PL,917.082,9.133333333333333,14.186666666666666
43,AT,PL,Wien 1-AT,Zabrze-PL,571.47,5.433333333333334,9.006666666666666
44,AT,PL,Wien 1-AT,Koninko-PL,897.517,8.9,13.86
45,AT,PL,Wien 1-AT,Wroclaw-PL,760.382,7.033333333333333,11.246666666666666
46,AT,PL,Wien 1-AT,Bydgoszcz-PL,963.212,9.05,14.07
47,AT,PT,Wien 1-AT,Lisbon-PT,2807.802,25.049999999999997,58.46999999999999
48,AT,RO,Wien 1-AT,Oradea-RO,633.542,6.8,10.92
49,AT,SE,Wien 1-AT,Stockholm-SE,1942.967,18.483333333333334,38.276666666666664
50,AT,SE,Wien 1-AT,Helsingborg-SE,1398.676,13.633333333333333,31.486666666666665
51,AT,SE,Wien 1-AT,ARLÖV-SE,1348.082,13.166666666666664,30.83333333333333
52,AT,SE,Wien 1-AT,Malmö-SE,1346.695,13.116666666666667,30.763333333333332
53,AT,SI,Wien 1-AT,Ljubljana-SI,180.494,1.8166666666666664,3.943333333333333
54,AT,SK,Wien 1-AT,Bratislava Rača-SK,289.215,2.8166666666666664,5.343333333333333
55,AT,SK,Wien 1-AT,Bratislava Petržalka-SK,273.114,2.5833333333333335,5.016666666666667
56,AT,SK,Wien 1-AT,Strečno-SK,481.991,4.566666666666666,7.793333333333333
57,AT,AT,Wien 1-AT,Allhaming-AT,214.667,2.05,4.27
58,AT,AT,Wien 1-AT,Hagenbrunn-AT,230.772,2.283333333333333,4.596666666666666
59,AT,SK,Wien 1-AT,Ivanka pri Dunaji-SK,288.328,2.7333333333333334,5.226666666666667
60,AT,AT,Wien 1-AT,Enns-AT,241.881,2.35,4.6899999999999995
61,AT,SE,Wien 1-AT,Göteborg-SE,1614.472,15.55,34.169999999999995
62,AT,CZ,Wien 1-AT,Ricany-CZ,465.045,5.066666666666666,8.493333333333332
63,AT,CZ,Wien 1-AT,Olomouc-CZ,410.622,4.066666666666666,7.093333333333332
64,AT,IE,Wien 1-AT,Dublin-IE,2038.546,22.033333333333335,54.24666666666666
65,AT,AT,Wien 1-AT,Hall in Tirol-AT,436.896,4.383333333333334,7.536666666666667
66,AT,AT,Wien 1-AT,Hub Wien II-AT,198.409,1.8833333333333333,4.036666666666666
67,AT,AT,Wien 1-AT,Liesing-AT,198.265,1.8833333333333333,4.036666666666666
68,AT,AT,Wien 1-AT,Wals-AT,299.318,2.8333333333333335,5.366666666666667
69,AT,AT,Wien 1-AT,Wundschuh-AT,1.652,0.06666666666666667,1.4933333333333332
70,AT,AT,Wien 1-AT,Wernberg-AT,158.555,1.6333333333333333,3.6866666666666665
71,AT,DE,Wien 1-AT,PZ 44 (Bochum) [im Bau]-DE,950.947,7.916666666666666,12.483333333333333
